customer_id,customer_name,age,gender,region,service_type,contract_type,dwelling_type,account_tenure_months,has_autopay,paperless_billing,family_size,income_bracket,home_ownership,churned
CUST0000070,Customer_70,35,Female,Northeast,Gas,Residential,Condo,27,0,1,3,High,Rent,1
CUST0000071,Customer_71,50,Male,Southeast,Dual Fuel,Small Business,Apartment,8,1,1,2,Medium-High,Own,0
CUST0000072,Customer_72,68,Male,Southeast,Dual Fuel,Residential,Condo,34,0,0,5,Medium,Own,0
CUST0000073,Customer_73,44,Female,Northwest,Multi-Utility,Small Business,Apartment,122,1,0,1,Medium-High,Own,0
CUST0000074,Customer_74,68,Female,Midwest,Dual Fuel,Residential,Condo,4,0,1,1,High,Rent,1
CUST0000075,Customer_75,18,Male,Southeast,Gas,Residential,House,25,0,0,6,Low,Own,1
CUST0000076,Customer_76,57,Male,West,Gas,Small Business,House,1,1,1,4,Medium,Own,0
CUST0000077,Customer_77,46,Female,Northeast,Water,Small Business,Apartment,13,1,0,4,High,Rent,1
CUST0000078,Customer_78,40,Male,West,Water,Residential,Apartment,34,0,1,3,Medium-High,Rent,1
CUST0000079,Customer_79,46,Male,Southwest,Gas,Residential,Townhouse,66,0,1,3,High,Own,1
CUST0000080,Customer_80,18,Male,Northeast,Electricity,Commercial,Apartment,47,1,0,3,Low,Rent,0
CUST0000081,Customer_81,41,Male,Southwest,Multi-Utility,Small Business,House,22,0,1,1,High,Own,1
CUST0000082,Customer_82,50,Female,Northwest,Gas,Residential,House,86,1,1,4,Medium-High,Own,0
CUST0000083,Customer_83,67,Female,Southeast,Electricity,Residential,House,12,1,0,3,Medium-High,Rent,0
CUST0000084,Customer_84,37,Female,Midwest,Gas,Residential,Condo,50,1,0,6,Medium-High,Own,1
CUST0000085,Customer_85,32,Other,West,Water,Residential,Apartment,23,0,0,3,Low,Rent,0
CUST0000086,Customer_86,37,Male,Southwest,Electricity,Small Business,Condo,82,1,1,2,Medium,Own,0
CUST0000087,Customer_87,58,Male,Southeast,Dual Fuel,Commercial,Apartment,57,0,0,3,Medium,Rent,1
CUST0000088,Customer_88,49,Male,West,Electricity,Small Business,Townhouse,83,0,1,1,Medium,Own,1
CUST0000089,Customer_89,37,Male,West,Electricity,Residential,Mobile Home,8,1,1,4,Medium-High,Rent,0
CUST0000090,Customer_90,52,Male,Northwest,Gas,Commercial,Condo,39,1,1,3,Medium-High,Other,0
CUST0000091,Customer_91,46,Female,Northwest,Water,Residential,Townhouse,48,0,1,2,Medium,Own,1
CUST0000092,Customer_92,59,Female,Southwest,Multi-Utility,Commercial,Apartment,48,0,1,6,Medium-High,Own,1
CUST0000093,Customer_93,34,Male,Southeast,Dual Fuel,Residential,Mobile Home,25,1,1,5,Low,Own,0
CUST0000094,Customer_94,40,Female,Midwest,Multi-Utility,Residential,Townhouse,1,0,1,6,Low,Rent,1
CUST0000095,Customer_95,39,Female,Southwest,Electricity,Small Business,Mobile Home,10,1,0,2,Medium,Own,1
CUST0000096,Customer_96,23,Female,West,Electricity,Residential,Condo,14,1,0,4,Medium-High,Own,0
CUST0000097,Customer_97,49,Female,West,Gas,Small Business,Townhouse,68,1,0,5,Medium-High,Rent,0
CUST0000098,Customer_98,48,Female,Northeast,Electricity,Small Business,Apartment,66,0,1,3,Medium,Rent,1
CUST0000099,Customer_99,45,Female,Southeast,Dual Fuel,Residential,House,3,1,0,2,High,Own,0
CUST0000100,Customer_100,41,Female,Northeast,Water,Small Business,Apartment,107,1,0,4,Low,Rent,0
CUST0000101,Customer_101,23,Female,Northwest,Multi-Utility,Residential,Townhouse,7,0,1,5,High,Own,1
CUST0000102,Customer_102,38,Male,Midwest,Electricity,Residential,House,19,1,1,4,High,Rent,1
CUST0000103,Customer_103,39,Male,Southwest,Gas,Prepaid,Apartment,8,0,1,2,Medium-High,Own,1
CUST0000104,Customer_104,32,Female,West,Gas,Commercial,Apartment,70,0,1,2,Low,Own,1
CUST0000105,Customer_105,42,Male,Southeast,Electricity,Residential,Apartment,49,1,1,3,Medium,Rent,1
CUST0000106,Customer_106,51,Male,West,Gas,Residential,Townhouse,15,1,1,3,Low,Own,0
CUST0000107,Customer_107,73,Female,Northwest,Gas,Residential,Townhouse,41,0,1,4,Medium-High,Own,0
CUST0000108,Customer_108,47,Male,Northeast,Gas,Small Business,Apartment,7,1,1,1,Low,Rent,0
CUST0000109,Customer_109,48,Female,Northeast,Electricity,Commercial,House,17,1,1,1,Medium,Rent,0
CUST0000110,Customer_110,43,Female,Southwest,Electricity,Residential,Apartment,17,1,0,2,Medium,Own,1
CUST0000111,Customer_111,18,Other,Southeast,Gas,Commercial,Apartment,9,0,0,2,Low,Rent,1
CUST0000112,Customer_112,44,Female,Northwest,Electricity,Residential,Apartment,75,0,1,3,Medium,Rent,0
CUST0000113,Customer_113,45,Male,Southeast,Electricity,Residential,House,40,0,0,2,Low,Rent,1
CUST0000114,Customer_114,81,Female,Southwest,Electricity,Commercial,Apartment,11,1,0,4,Medium-High,Own,1
CUST0000115,Customer_115,42,Female,Northwest,Electricity,Residential,House,9,0,1,4,Medium,Own,0
CUST0000116,Customer_116,49,Other,Northwest,Electricity,Residential,Condo,1,0,0,2,Medium-High,Own,1
CUST0000117,Customer_117,44,Male,Northeast,Electricity,Small Business,House,15,1,1,5,Medium-High,Own,0
CUST0000118,Customer_118,27,Male,Northeast,Gas,Residential,Apartment,26,1,0,4,Low,Own,0
CUST0000119,Customer_119,62,Female,Northeast,Water,Residential,House,11,1,0,3,Medium,Own,0
CUST0000120,Customer_120,56,Male,West,Gas,Commercial,Mobile Home,43,1,1,5,Medium-High,Rent,0
CUST0000121,Customer_121,56,Female,Midwest,Dual Fuel,Small Business,Apartment,19,1,0,2,High,Rent,0
CUST0000122,Customer_122,31,Male,Northeast,Gas,Commercial,House,13,1,1,3,Medium,Own,0
CUST0000123,Customer_123,66,Male,Midwest,Gas,Residential,Apartment,100,1,1,1,Medium,Own,1
CUST0000124,Customer_124,23,Male,Midwest,Dual Fuel,Residential,Townhouse,10,1,1,3,Medium-High,Own,1
CUST0000125,Customer_125,53,Male,Southeast,Gas,Prepaid,Townhouse,18,1,0,3,Medium-High,Own,0
CUST0000126,Customer_126,77,Female,Southwest,Water,Residential,Condo,17,0,1,3,High,Rent,0
CUST0000127,Customer_127,30,Female,West,Gas,Residential,House,9,0,0,1,Medium,Own,1
CUST0000128,Customer_128,36,Male,Midwest,Gas,Residential,Condo,8,1,1,1,Low,Rent,0
CUST0000129,Customer_129,46,Female,West,Water,Residential,Townhouse,12,1,0,3,Medium-High,Own,0
CUST0000130,Customer_130,37,Male,Southeast,Electricity,Residential,Apartment,71,1,0,2,Low,Rent,0
CUST0000131,Customer_131,21,Female,Northeast,Electricity,Commercial,Townhouse,52,1,1,4,Medium,Rent,0
CUST0000132,Customer_132,46,Male,Northwest,Electricity,Prepaid,House,41,1,1,4,Medium-High,Own,1
CUST0000133,Customer_133,29,Female,Midwest,Electricity,Small Business,House,21,0,1,2,Medium-High,Own,1
CUST0000134,Customer_134,52,Female,Southwest,Electricity,Small Business,Townhouse,25,1,1,1,Medium-High,Rent,0
CUST0000135,Customer_135,31,Female,Northwest,Gas,Commercial,Condo,11,0,0,2,Low,Own,1
CUST0000136,Customer_136,68,Female,Southeast,Water,Small Business,House,2,1,0,4,High,Own,1
CUST0000137,Customer_137,33,Female,West,Water,Residential,Apartment,14,1,1,6,Low,Own,0
CUST0000138,Customer_138,40,Other,Northeast,Electricity,Residential,Townhouse,24,1,0,2,Low,Own,0
CUST0000139,Customer_139,57,Female,West,Multi-Utility,Residential,House,2,1,1,4,Medium-High,Own,0
CUST0000140,Customer_140,26,Female,Southwest,Gas,Residential,House,3,0,1,5,High,Own,1
CUST0000141,Customer_141,48,Female,Midwest,Electricity,Residential,House,10,1,0,1,Medium-High,Other,0
CUST0000142,Customer_142,64,Male,Southwest,Dual Fuel,Residential,Mobile Home,16,0,1,5,Medium-High,Own,1
CUST0000143,Customer_143,20,Female,West,Water,Residential,Mobile Home,17,1,1,3,Medium,Own,0
CUST0000144,Customer_144,47,Male,West,Water,Residential,Apartment,4,1,1,6,Low,Own,0
CUST0000145,Customer_145,48,Female,Northwest,Electricity,Residential,Apartment,9,1,0,3,Medium-High,Own,0
CUST0000146,Customer_146,56,Female,Southwest,Gas,Residential,House,10,0,0,2,Medium,Rent,0
CUST0000147,Customer_147,26,Female,Southwest,Dual Fuel,Small Business,House,2,0,1,6,High,Other,1
CUST0000148,Customer_148,25,Male,Southwest,Gas,Residential,Townhouse,14,1,0,2,Low,Rent,1
CUST0000149,Customer_149,52,Male,Northeast,Water,Commercial,House,2,1,1,5,Medium,Own,0
CUST0000150,Customer_150,49,Female,West,Gas,Prepaid,Apartment,43,1,1,2,Medium,Own,0
CUST0000151,Customer_151,48,Female,Southeast,Dual Fuel,Small Business,Condo,17,1,1,4,Medium,Own,0
CUST0000152,Customer_152,50,Male,Northeast,Electricity,Small Business,House,14,1,1,3,Medium,Own,1
CUST0000153,Customer_153,34,Male,Northeast,Gas,Commercial,Apartment,4,1,0,6,Medium,Own,0
CUST0000154,Customer_154,48,Female,Northeast,Electricity,Residential,Apartment,9,0,1,2,Low,Rent,0
CUST0000155,Customer_155,49,Female,Northwest,Water,Prepaid,Condo,9,0,0,3,Medium-High,Own,1
CUST0000156,Customer_156,34,Male,Southeast,Water,Small Business,House,151,1,1,3,Medium,Own,1
CUST0000157,Customer_157,72,Male,Southwest,Electricity,Small Business,House,64,0,0,6,Medium-High,Rent,0
CUST0000158,Customer_158,52,Male,Northwest,Water,Residential,Apartment,1,0,1,2,Medium,Rent,0
CUST0000159,Customer_159,27,Other,West,Gas,Residential,Mobile Home,34,0,1,2,Medium-High,Own,0
CUST0000160,Customer_160,54,Male,Midwest,Electricity,Small Business,House,10,0,0,3,Medium-High,Own,1
CUST0000161,Customer_161,30,Male,Northwest,Gas,Small Business,Mobile Home,3,1,1,2,Medium-High,Rent,1
CUST0000162,Customer_162,56,Male,Midwest,Electricity,Small Business,Condo,44,0,0,4,Medium,Own,0
CUST0000163,Customer_163,62,Male,West,Gas,Residential,Townhouse,5,0,0,1,Medium-High,Rent,0
CUST0000164,Customer_164,32,Female,Southeast,Electricity,Residential,House,21,1,0,4,Medium,Own,1
CUST0000165,Customer_165,59,Male,Midwest,Water,Residential,House,36,1,1,3,Medium-High,Own,1
CUST0000166,Customer_166,51,Male,Northeast,Water,Residential,House,29,1,0,2,Medium,Own,0
CUST0000167,Customer_167,57,Male,Northwest,Gas,Residential,Apartment,136,0,1,3,Low,Rent,1
CUST0000168,Customer_168,73,Male,Midwest,Electricity,Residential,Mobile Home,55,0,0,4,Medium-High,Rent,1
CUST0000169,Customer_169,41,Male,West,Multi-Utility,Residential,House,53,0,1,3,Medium,Rent,0
CUST0000170,Customer_170,33,Female,Northeast,Water,Residential,Apartment,15,0,1,1,High,Rent,1
CUST0000171,Customer_171,31,Female,Midwest,Electricity,Residential,House,1,0,1,1,Medium,Own,0
CUST0000172,Customer_172,32,Female,West,Dual Fuel,Commercial,Condo,47,1,0,4,High,Rent,0
CUST0000173,Customer_173,43,Female,Southeast,Electricity,Small Business,House,240,1,1,2,Medium,Rent,0
CUST0000174,Customer_174,50,Female,West,Gas,Small Business,House,18,1,0,5,Low,Rent,0
CUST0000175,Customer_175,49,Male,Southeast,Gas,Residential,House,152,1,1,3,Low,Own,1
CUST0000176,Customer_176,57,Female,Northeast,Gas,Small Business,Townhouse,5,1,1,3,Low,Rent,1
CUST0000177,Customer_177,45,Female,West,Dual Fuel,Residential,House,12,1,0,3,Low,Rent,0
CUST0000178,Customer_178,66,Female,Southwest,Gas,Prepaid,House,6,1,0,3,Medium,Rent,1
CUST0000179,Customer_179,41,Female,Northwest,Electricity,Small Business,House,23,1,0,5,Medium,Own,1
CUST0000180,Customer_180,85,Male,Southwest,Multi-Utility,Small Business,Mobile Home,57,0,0,3,Low,Rent,1
CUST0000181,Customer_181,54,Female,Southwest,Multi-Utility,Commercial,Apartment,14,0,0,1,Medium,Rent,1
CUST0000182,Customer_182,32,Female,Southwest,Water,Residential,Condo,85,1,1,3,Medium,Own,0
CUST0000183,Customer_183,28,Other,Northwest,Gas,Residential,Condo,28,0,0,3,Medium-High,Own,0
CUST0000184,Customer_184,52,Male,Southwest,Electricity,Small Business,House,22,1,1,4,Low,Own,0
CUST0000185,Customer_185,41,Male,Southeast,Water,Residential,Apartment,55,1,1,5,High,Rent,0
CUST0000186,Customer_186,55,Male,West,Electricity,Residential,House,3,1,1,3,Medium,Rent,1
CUST0000187,Customer_187,52,Female,Northeast,Electricity,Small Business,Apartment,53,0,1,2,Medium-High,Own,1
CUST0000188,Customer_188,43,Male,Southwest,Gas,Residential,Apartment,10,1,1,3,Low,Rent,1
CUST0000189,Customer_189,32,Male,Southwest,Electricity,Small Business,Apartment,11,1,1,5,Medium-High,Own,0
CUST0000190,Customer_190,22,Other,Northeast,Electricity,Commercial,House,32,1,1,6,Medium,Own,0
CUST0000191,Customer_191,38,Male,Northeast,Gas,Residential,House,83,0,1,6,High,Own,0
CUST0000192,Customer_192,57,Female,Southwest,Electricity,Residential,Townhouse,31,1,1,2,High,Own,1
CUST0000193,Customer_193,48,Male,Southeast,Electricity,Residential,Condo,37,1,1,3,Medium-High,Rent,1
CUST0000194,Customer_194,26,Female,Northeast,Electricity,Residential,House,53,1,0,2,Medium-High,Other,0
CUST0000195,Customer_195,47,Female,West,Electricity,Residential,House,10,1,1,2,Medium-High,Own,0
CUST0000196,Customer_196,50,Female,West,Water,Residential,Townhouse,63,1,1,1,Low,Rent,1
CUST0000197,Customer_197,31,Female,Southeast,Dual Fuel,Residential,Townhouse,19,0,1,2,Medium-High,Rent,0
CUST0000198,Customer_198,47,Male,Northwest,Gas,Residential,Mobile Home,6,1,1,2,Low,Own,0
CUST0000199,Customer_199,45,Male,Midwest,Gas,Small Business,House,15,0,1,2,Medium-High,Own,0
CUST0000200,Customer_200,27,Male,Southeast,Electricity,Commercial,Apartment,10,1,1,2,Low,Rent,0
CUST0000201,Customer_201,50,Female,Southwest,Electricity,Small Business,House,9,0,0,2,Medium,Rent,0
CUST0000202,Customer_202,53,Female,Midwest,Electricity,Residential,Condo,11,1,1,4,Medium,Own,0
CUST0000203,Customer_203,61,Male,Southwest,Gas,Residential,House,7,1,0,2,Medium,Own,1
CUST0000204,Customer_204,60,Female,West,Water,Small Business,House,39,1,1,4,Medium-High,Rent,1
CUST0000205,Customer_205,24,Male,Northeast,Gas,Residential,House,31,1,0,2,Medium,Own,0
CUST0000206,Customer_206,30,Female,Southwest,Electricity,Residential,Condo,37,1,0,4,High,Rent,1
CUST0000207,Customer_207,52,Other,West,Electricity,Commercial,Apartment,15,0,0,2,Medium,Own,0
CUST0000208,Customer_208,52,Male,Southeast,Water,Residential,Condo,52,1,1,2,Medium-High,Own,1
CUST0000209,Customer_209,52,Female,Southwest,Electricity,Residential,Townhouse,4,1,1,4,Medium-High,Own,1
CUST0000210,Customer_210,85,Male,West,Water,Commercial,Condo,30,1,1,5,Medium,Own,1
CUST0000211,Customer_211,53,Female,Northeast,Gas,Commercial,Apartment,11,1,1,1,Medium-High,Own,1
CUST0000212,Customer_212,62,Female,Southwest,Water,Residential,Mobile Home,26,0,1,1,Medium,Own,0
CUST0000213,Customer_213,59,Male,Northwest,Dual Fuel,Residential,Apartment,14,1,1,5,Low,Rent,1
CUST0000214,Customer_214,54,Male,West,Multi-Utility,Small Business,House,56,1,1,1,Low,Own,1
CUST0000215,Customer_215,40,Male,Southwest,Gas,Small Business,Mobile Home,79,0,0,2,Medium-High,Rent,1
CUST0000216,Customer_216,56,Female,Northeast,Gas,Residential,House,48,0,0,5,Low,Rent,0
CUST0000217,Customer_217,33,Female,Southwest,Electricity,Small Business,Apartment,6,1,0,4,Low,Rent,0
CUST0000218,Customer_218,41,Male,Southwest,Multi-Utility,Prepaid,House,11,0,1,2,Medium,Own,1
CUST0000219,Customer_219,37,Female,Northwest,Gas,Residential,Apartment,90,1,0,6,Medium,Rent,1
CUST0000220,Customer_220,46,Female,West,Electricity,Commercial,Apartment,20,1,1,3,Medium-High,Rent,0
CUST0000221,Customer_221,79,Male,Midwest,Gas,Prepaid,House,101,1,1,1,Low,Own,0
CUST0000222,Customer_222,18,Male,Southwest,Electricity,Residential,Apartment,17,1,0,4,Low,Own,0
CUST0000223,Customer_223,55,Female,Midwest,Gas,Small Business,Townhouse,109,1,1,3,Medium,Own,0
CUST0000224,Customer_224,20,Female,Southeast,Gas,Residential,House,93,0,1,3,Medium,Own,0
CUST0000225,Customer_225,37,Male,Southwest,Electricity,Small Business,Apartment,38,1,0,6,Medium-High,Rent,0
CUST0000226,Customer_226,61,Male,Midwest,Electricity,Small Business,House,1,1,1,2,Medium-High,Rent,1
CUST0000227,Customer_227,45,Male,Southeast,Multi-Utility,Residential,Townhouse,18,0,1,4,High,Rent,1
CUST0000228,Customer_228,28,Female,Northwest,Water,Small Business,Condo,87,1,1,3,Medium,Own,1
CUST0000229,Customer_229,34,Male,West,Dual Fuel,Commercial,Townhouse,77,1,0,2,Medium-High,Other,0
CUST0000230,Customer_230,55,Male,Southwest,Electricity,Residential,House,7,0,0,4,Medium-High,Rent,1
CUST0000231,Customer_231,34,Female,West,Water,Residential,House,18,1,1,4,Medium-High,Own,1
CUST0000232,Customer_232,48,Female,Southeast,Gas,Residential,House,64,1,1,5,High,Rent,0
CUST0000233,Customer_233,45,Male,West,Electricity,Small Business,House,31,1,1,5,Medium,Own,0
CUST0000234,Customer_234,35,Male,West,Electricity,Prepaid,Apartment,67,1,1,3,Medium,Own,1
CUST0000235,Customer_235,77,Female,Northeast,Electricity,Commercial,Mobile Home,63,1,1,2,High,Rent,0
CUST0000236,Customer_236,54,Male,Southeast,Electricity,Residential,Apartment,85,1,0,3,Low,Rent,0
CUST0000237,Customer_237,18,Male,West,Multi-Utility,Residential,Mobile Home,4,0,0,2,Low,Own,0
CUST0000238,Customer_238,47,Female,Midwest,Electricity,Residential,House,5,1,0,2,Medium,Rent,0
CUST0000239,Customer_239,35,Male,Southeast,Gas,Residential,Mobile Home,3,1,1,3,Medium,Own,1
CUST0000240,Customer_240,57,Female,Northeast,Gas,Residential,House,98,1,1,4,Medium,Rent,0
CUST0000241,Customer_241,33,Female,Southwest,Electricity,Residential,Mobile Home,23,1,1,3,High,Own,0
CUST0000242,Customer_242,43,Male,Northwest,Gas,Residential,House,2,0,1,6,Medium,Other,1
CUST0000243,Customer_243,52,Male,West,Electricity,Prepaid,Mobile Home,13,0,1,2,Medium-High,Rent,0
CUST0000244,Customer_244,57,Female,Midwest,Water,Small Business,House,15,1,0,2,Medium,Own,1
CUST0000245,Customer_245,26,Female,Northeast,Electricity,Small Business,House,59,1,0,4,Medium,Rent,1
CUST0000246,Customer_246,39,Female,Southeast,Gas,Residential,Apartment,47,1,1,3,Medium,Rent,0
CUST0000247,Customer_247,37,Female,Northwest,Water,Prepaid,Apartment,42,1,1,1,Medium-High,Own,1
CUST0000248,Customer_248,35,Male,Northwest,Dual Fuel,Small Business,Condo,1,0,1,2,Medium,Rent,0
CUST0000249,Customer_249,71,Female,West,Dual Fuel,Commercial,Mobile Home,86,0,0,2,Medium-High,Other,0
CUST0000250,Customer_250,51,Male,Northeast,Gas,Residential,Condo,8,0,1,4,Medium-High,Own,1
CUST0000251,Customer_251,26,Male,Northeast,Electricity,Residential,Condo,35,1,1,5,Medium,Own,1
CUST0000252,Customer_252,58,Male,Midwest,Gas,Residential,House,2,0,0,2,Low,Own,1
CUST0000253,Customer_253,76,Male,Southwest,Water,Residential,Condo,3,1,1,1,Low,Own,1
CUST0000254,Customer_254,60,Female,Southwest,Dual Fuel,Small Business,Apartment,1,1,0,2,Medium,Own,0
CUST0000255,Customer_255,22,Male,Southwest,Electricity,Commercial,Townhouse,30,1,1,2,Medium-High,Own,0
CUST0000256,Customer_256,37,Male,Northwest,Electricity,Residential,Apartment,35,1,1,2,Medium-High,Other,1
CUST0000257,Customer_257,64,Male,Northwest,Water,Residential,Condo,1,1,0,2,Medium,Rent,1
CUST0000258,Customer_258,34,Female,Southeast,Gas,Small Business,House,12,1,1,3,High,Rent,0
