customer_id,customer_name,age,gender,region,account_start_date,account_tenure_months,service_type,contract_type,dwelling_type,has_autopay,paperless_billing,family_size,income_bracket,home_ownership,churned
CUST0000091,Customer_91,49,Female,Southwest,2024-07-02,6,Electricity+Gas,Residential,Single Family,1,1,1,Medium,Rent,1
CUST0000092,Customer_92,62,Female,Gulf Coast,2019-06-02,67,Electricity+Gas,Small Business,Apartment,0,0,1,Medium,Rent,0
CUST0000093,Customer_93,37,Male,Gulf Coast,2024-12-01,1,Electricity,Small Business,Apartment,1,1,1,Medium-High,Own,0
CUST0000094,Customer_94,43,Female,Gulf Coast,2021-11-01,38,Electricity+Water,Residential,Apartment,1,0,5,Medium,Own,0
CUST0000095,Customer_95,42,Female,Southeast,2024-01-01,12,Electricity+Water,Small Business,Townhouse,1,1,1,Medium-High,Rent,1
CUST0000096,Customer_96,26,Female,Northeast,2020-02-01,59,Electricity+Gas,Residential,Townhouse,1,0,3,Medium,Rent,0
CUST0000097,Customer_97,52,Female,West,2005-08-01,233,Electricity,Residential,Apartment,1,0,1,Medium,Rent,0
CUST0000098,Customer_98,51,Female,West,2021-12-01,37,Electricity+Gas,Residential,Apartment,0,0,5,Medium-High,Own,1
CUST0000099,Customer_99,48,Female,Southeast,2016-07-02,102,Electricity,Residential,Townhouse,1,1,5,Low,Own,0
CUST0000100,Customer_100,44,Female,West,2021-07-02,42,Electricity+Gas,Residential,Apartment,0,0,1,Medium,Own,1
CUST0000101,Customer_101,26,Female,Southwest,2021-08-01,41,Electricity,Small Business,Condo,1,1,3,Low,Own,1
CUST0000102,Customer_102,41,Male,Northeast,2011-10-02,159,Electricity+Gas,Small Business,Apartment,0,0,2,Medium-Low,Own,1
CUST0000103,Customer_103,42,Male,Midwest,2013-12-31,132,Electricity,Commercial,Apartment,0,1,3,Medium,Own,0
CUST0000104,Customer_104,35,Female,Gulf Coast,2017-05-02,92,Water,Residential,Single Family,0,1,3,Medium-Low,Rent,1
CUST0000105,Customer_105,45,Male,Midwest,2023-04-02,21,Water,Residential,Condo,1,0,5,Medium-Low,Own,0
CUST0000106,Customer_106,54,Male,West,2021-01-31,47,Electricity+Water,Residential,Apartment,1,1,1,High,Own,1
CUST0000107,Customer_107,76,Female,Northeast,2023-10-02,15,Electricity,Commercial,Townhouse,1,1,2,Medium-Low,Rent,0
CUST0000108,Customer_108,50,Male,West,2022-01-31,35,Electricity,Small Business,Apartment,1,0,1,Medium,Rent,0
CUST0000109,Customer_109,51,Female,Gulf Coast,2021-10-01,39,Gas,Small Business,Single Family,1,0,5,Medium,Own,0
CUST0000110,Customer_110,46,Female,Midwest,2016-03-02,106,Electricity,Residential,Apartment,0,1,5,Low,Lease,0
CUST0000111,Customer_111,19,Other,Southeast,2013-10-01,135,Electricity,Residential,Single Family,1,0,2,Medium,Own,0
CUST0000112,Customer_112,47,Female,Southwest,2022-05-02,32,Electricity+Gas,Residential,Single Family,1,0,5,Medium,Own,0
CUST0000113,Customer_113,48,Male,Gulf Coast,2024-12-01,1,Electricity+Gas,Small Business,Single Family,0,1,1,Medium-Low,Own,1
CUST0000114,Customer_114,84,Female,Northeast,2015-03-03,118,Electricity,Small Business,Single Family,1,1,3,Low,Rent,1
CUST0000115,Customer_115,45,Female,Midwest,2024-02-01,11,Gas,Residential,Single Family,1,0,4,Medium-Low,Rent,0
CUST0000116,Customer_116,52,Other,Northeast,2020-03-02,58,Electricity+Gas,Residential,Townhouse,0,1,6,Medium-High,Rent,0
CUST0000117,Customer_117,47,Male,Midwest,2024-12-01,1,Electricity,Small Business,Townhouse,1,1,3,Medium-Low,Own,0
CUST0000118,Customer_118,30,Male,Midwest,2022-07-02,30,Electricity+Water,Residential,Single Family,0,0,3,Medium-Low,Rent,0
CUST0000119,Customer_119,65,Female,Gulf Coast,2003-10-01,255,Electricity,Commercial,Apartment,0,1,2,Medium-Low,Own,0
CUST0000120,Customer_120,59,Male,Midwest,2024-07-02,6,Electricity,Residential,Apartment,1,0,4,Medium-High,Rent,1
CUST0000121,Customer_121,59,Female,Southwest,2022-04-02,33,Electricity,Residential,Single Family,1,1,1,Medium,Own,1
CUST0000122,Customer_122,34,Male,Gulf Coast,2023-03-03,22,Electricity,Small Business,Single Family,0,0,3,Medium-High,Own,0
CUST0000123,Customer_123,69,Male,Southeast,2013-04-01,141,Electricity+Water,Residential,Single Family,0,0,2,High,Lease,1
CUST0000124,Customer_124,26,Male,West,2014-11-01,122,Electricity,Residential,Condo,1,1,7,High,Own,0
CUST0000125,Customer_125,56,Male,West,2023-09-01,16,Electricity+Gas,Commercial,Condo,0,1,3,Medium,Own,0
CUST0000126,Customer_126,80,Female,Southeast,2024-08-01,5,Gas,Commercial,Apartment,1,1,2,Medium,Own,1
CUST0000127,Customer_127,33,Female,Northeast,2020-02-01,59,Electricity+Gas,Residential,Townhouse,0,1,3,Medium-High,Rent,1
CUST0000128,Customer_128,39,Male,Midwest,2023-01-01,24,Electricity+Water,Residential,Apartment,1,1,4,Medium-Low,Own,1
CUST0000129,Customer_129,49,Female,Southeast,2019-07-02,66,Water,Residential,Single Family,1,1,3,Low,Own,0
CUST0000130,Customer_130,40,Male,Southeast,2024-12-01,1,Electricity,Residential,Condo,1,1,1,Medium-Low,Own,1
CUST0000131,Customer_131,24,Female,Gulf Coast,2024-05-02,8,Water,Commercial,Single Family,1,1,1,Medium-High,Own,0
CUST0000132,Customer_132,49,Male,Midwest,2019-04-02,69,Gas,Residential,Townhouse,1,1,8,Low,Lease,0
CUST0000133,Customer_133,32,Female,Gulf Coast,2023-11-01,14,Gas,Residential,Apartment,1,1,1,Medium-High,Lease,0
CUST0000134,Customer_134,55,Female,Southeast,2015-05-02,116,Electricity+Gas,Commercial,Townhouse,1,1,5,Medium-High,Lease,0
CUST0000135,Customer_135,34,Female,Gulf Coast,2024-10-01,3,Electricity+Water,Residential,Apartment,1,1,1,Low,Own,1
CUST0000136,Customer_136,71,Female,West,2023-11-01,14,Electricity,Small Business,Townhouse,0,1,3,Low,Rent,1
CUST0000137,Customer_137,36,Female,West,1994-12-31,360,Water,Residential,Single Family,0,1,1,Medium-Low,Rent,1
CUST0000138,Customer_138,43,Other,Southeast,2022-03-03,34,Electricity,Commercial,Single Family,1,0,1,Medium-Low,Own,1
CUST0000139,Customer_139,60,Female,Midwest,2019-01-01,72,Gas,Small Business,Condo,1,0,1,Medium,Rent,0
CUST0000140,Customer_140,29,Female,Southwest,2024-01-01,12,Electricity+Water,Commercial,Townhouse,1,1,1,Medium,Rent,0
CUST0000141,Customer_141,51,Female,West,2020-05-02,56,Electricity+Gas,Commercial,Condo,0,1,1,Medium-High,Own,0
CUST0000142,Customer_142,67,Male,West,2018-08-02,77,Electricity,Residential,Apartment,1,1,3,Low,Lease,1
CUST0000143,Customer_143,23,Female,Northeast,2023-03-03,22,Electricity+Gas,Residential,Apartment,1,1,2,Medium,Rent,0
CUST0000144,Customer_144,50,Male,Gulf Coast,2016-04-01,105,Water,Residential,Apartment,1,1,8,Medium,Rent,1
CUST0000145,Customer_145,51,Female,Gulf Coast,2020-06-01,55,Electricity+Gas,Small Business,Single Family,0,0,2,Medium-High,Rent,1
CUST0000146,Customer_146,59,Female,Southwest,2022-08-02,29,Electricity,Residential,Townhouse,1,1,5,Medium-Low,Own,0
CUST0000147,Customer_147,29,Female,Southeast,2020-12-31,48,Gas,Commercial,Condo,0,0,3,Medium,Rent,0
CUST0000148,Customer_148,28,Male,West,2020-10-01,51,Electricity+Water,Residential,Condo,1,1,2,Low,Rent,1
CUST0000149,Customer_149,55,Male,Midwest,2024-03-02,10,Electricity+Gas,Commercial,Apartment,1,1,3,Low,Own,1
CUST0000150,Customer_150,52,Female,West,2022-07-02,30,Electricity+Gas,Residential,Apartment,0,1,3,Medium-Low,Own,0
CUST0000151,Customer_151,51,Female,West,2022-12-01,25,Water,Residential,Condo,1,1,3,Medium,Rent,0
CUST0000152,Customer_152,53,Male,Northeast,2022-07-02,30,Electricity,Residential,Townhouse,1,0,2,Low,Rent,0
CUST0000153,Customer_153,37,Male,Southwest,2017-12-01,85,Electricity+Gas,Residential,Condo,0,0,5,Medium-High,Lease,1
CUST0000154,Customer_154,51,Female,Midwest,2021-10-01,39,Gas,Residential,Townhouse,1,1,3,High,Own,1
CUST0000155,Customer_155,52,Female,Gulf Coast,2010-12-01,169,Electricity,Residential,Condo,0,1,2,Medium,Own,1
CUST0000156,Customer_156,37,Male,Southeast,2023-05-03,20,Electricity,Residential,Single Family,1,1,3,Low,Rent,1
CUST0000157,Customer_157,75,Male,Southeast,2022-05-02,32,Water,Small Business,Townhouse,0,0,4,Medium-High,Rent,1
CUST0000158,Customer_158,55,Male,Gulf Coast,2017-05-02,92,Electricity,Residential,Single Family,0,1,4,Medium-Low,Rent,1
CUST0000159,Customer_159,30,Other,Northeast,2021-01-31,47,Electricity,Residential,Townhouse,1,1,1,Medium-High,Own,0
CUST0000160,Customer_160,57,Male,West,2021-01-31,47,Electricity,Commercial,Apartment,1,0,1,Medium,Rent,0
CUST0000161,Customer_161,33,Male,Southeast,2024-10-01,3,Electricity,Small Business,Single Family,0,1,4,Low,Own,1
CUST0000162,Customer_162,59,Male,Southwest,2022-07-02,30,Gas,Residential,Apartment,1,0,2,Medium-Low,Rent,1
CUST0000163,Customer_163,65,Male,Southwest,2023-07-03,18,Water,Small Business,Single Family,1,1,4,Medium,Own,0
CUST0000164,Customer_164,35,Female,Midwest,1994-12-31,360,Electricity,Commercial,Single Family,1,1,3,Medium-High,Own,1
CUST0000165,Customer_165,62,Male,Gulf Coast,2023-03-03,22,Electricity,Commercial,Single Family,1,1,1,Low,Rent,0
CUST0000166,Customer_166,54,Male,Northeast,2014-04-02,129,Electricity+Gas,Small Business,Apartment,1,0,3,Medium-Low,Own,0
CUST0000167,Customer_167,60,Male,Southeast,2019-06-02,67,Electricity+Gas,Residential,Single Family,0,1,1,Low,Own,1
CUST0000168,Customer_168,76,Male,Midwest,2022-12-01,25,Electricity+Gas,Residential,Single Family,0,0,1,Medium,Own,0
CUST0000169,Customer_169,44,Male,Southwest,2021-01-31,47,Electricity,Small Business,Single Family,0,1,1,Medium,Own,1
CUST0000170,Customer_170,36,Female,Midwest,2015-11-01,110,Water,Small Business,Single Family,1,0,3,High,Own,0
CUST0000171,Customer_171,34,Female,Northeast,2014-05-02,128,Gas,Residential,Single Family,0,0,2,Medium-High,Own,1
CUST0000172,Customer_172,35,Female,Gulf Coast,2024-03-02,10,Electricity+Gas,Residential,Apartment,1,1,3,Medium-High,Own,1
CUST0000173,Customer_173,46,Female,Midwest,2023-01-01,24,Electricity,Residential,Apartment,0,1,2,Medium-Low,Own,1
CUST0000174,Customer_174,53,Female,Southeast,2023-01-01,24,Electricity,Residential,Mobile Home,1,1,4,Medium-Low,Own,1
CUST0000175,Customer_175,52,Male,Midwest,2024-11-01,2,Water,Residential,Single Family,1,0,4,Medium,Own,1
CUST0000176,Customer_176,60,Female,Southeast,2020-07-02,54,Electricity,Residential,Condo,0,1,5,Low,Own,0
CUST0000177,Customer_177,48,Female,Northeast,2015-06-02,115,Electricity,Commercial,Single Family,0,1,4,Medium-High,Own,1
CUST0000178,Customer_178,69,Female,Northeast,2022-09-01,28,Electricity+Gas,Residential,Single Family,1,0,3,Medium-High,Rent,1
CUST0000179,Customer_179,44,Female,Northeast,2018-05-02,80,Electricity+Gas,Commercial,Single Family,1,1,2,Low,Rent,0
CUST0000180,Customer_180,88,Male,Southeast,2020-02-01,59,Electricity+Gas,Residential,Single Family,1,1,4,Medium-High,Rent,1
CUST0000181,Customer_181,57,Female,Midwest,2022-09-01,28,Electricity+Gas,Residential,Apartment,0,1,1,Low,Own,0
CUST0000182,Customer_182,35,Female,Southwest,2024-04-02,9,Electricity+Gas,Residential,Townhouse,1,1,2,Low,Own,0
CUST0000183,Customer_183,31,Other,Southwest,2018-11-01,74,Gas,Residential,Condo,1,1,1,Low,Own,0
CUST0000184,Customer_184,55,Male,Northeast,2015-06-02,115,Electricity+Water,Residential,Mobile Home,0,1,2,Medium,Rent,1
CUST0000185,Customer_185,44,Male,Gulf Coast,2019-04-02,69,Electricity+Gas,Small Business,Townhouse,1,1,2,Medium-High,Own,0
CUST0000186,Customer_186,58,Male,West,2024-12-01,1,Electricity+Gas,Small Business,Apartment,1,0,2,Medium-Low,Rent,0
CUST0000187,Customer_187,55,Female,Gulf Coast,2023-11-01,14,Electricity,Commercial,Apartment,0,1,6,Medium-High,Rent,0
CUST0000188,Customer_188,46,Male,Southeast,2024-09-01,4,Electricity+Water,Residential,Condo,1,1,6,Medium-Low,Lease,1
CUST0000189,Customer_189,35,Male,Southwest,2020-10-31,50,Electricity,Residential,Townhouse,1,0,3,High,Lease,1
CUST0000190,Customer_190,25,Other,Northeast,2018-01-01,84,Electricity+Gas,Residential,Single Family,0,1,3,Medium-High,Rent,1
CUST0000191,Customer_191,41,Male,West,2024-06-01,7,Gas,Residential,Townhouse,1,1,1,Medium-High,Own,0
CUST0000192,Customer_192,60,Female,Northeast,2015-12-02,109,Electricity+Gas,Residential,Apartment,0,1,5,Medium,Lease,0
CUST0000193,Customer_193,51,Male,Southeast,2020-12-31,48,Gas,Residential,Apartment,1,1,2,Medium-Low,Rent,1
CUST0000194,Customer_194,29,Female,Midwest,2019-03-03,70,Electricity+Gas,Commercial,Condo,1,1,3,Low,Rent,0
CUST0000195,Customer_195,50,Female,Southwest,2007-04-02,213,Electricity,Residential,Townhouse,1,1,2,Medium,Own,0
CUST0000196,Customer_196,53,Female,Southwest,2024-08-01,5,Gas,Small Business,Mobile Home,0,0,2,Medium,Own,0
CUST0000197,Customer_197,34,Female,Northeast,2013-07-02,138,Water,Residential,Condo,0,1,1,Medium,Rent,0
CUST0000198,Customer_198,50,Male,Midwest,2024-05-02,8,Electricity,Residential,Single Family,1,0,4,Medium-Low,Own,0
CUST0000199,Customer_199,48,Male,Gulf Coast,2022-08-02,29,Electricity,Small Business,Single Family,1,1,1,Medium,Own,0
CUST0000200,Customer_200,30,Male,Gulf Coast,2015-07-02,114,Gas,Residential,Single Family,1,0,1,Medium,Own,0
CUST0000201,Customer_201,53,Female,Southwest,2013-03-02,142,Electricity+Water,Residential,Condo,1,0,1,Medium-Low,Own,0
CUST0000202,Customer_202,56,Female,Southwest,2021-07-02,42,Electricity,Residential,Single Family,1,1,3,Medium-High,Own,0
CUST0000203,Customer_203,64,Male,Northeast,2020-07-02,54,Electricity,Residential,Townhouse,1,1,3,Medium,Own,1
CUST0000204,Customer_204,63,Female,Southeast,2018-12-01,73,Electricity+Gas,Residential,Apartment,1,1,6,Medium-Low,Own,1
CUST0000205,Customer_205,27,Male,Southeast,2016-01-31,107,Electricity,Residential,Townhouse,0,1,3,Medium-Low,Own,1
CUST0000206,Customer_206,33,Female,Midwest,2024-06-01,7,Gas,Residential,Single Family,0,1,1,Medium-Low,Own,1
CUST0000207,Customer_207,55,Other,West,2016-10-01,99,Water,Small Business,Single Family,1,1,4,Medium-Low,Lease,0
CUST0000208,Customer_208,55,Male,Midwest,2021-10-01,39,Electricity,Residential,Single Family,0,1,2,Medium,Own,0
CUST0000209,Customer_209,55,Female,Northeast,2022-01-31,35,Electricity+Gas,Residential,Apartment,0,0,4,High,Rent,1
CUST0000210,Customer_210,90,Male,Midwest,2022-04-02,33,Electricity+Gas,Residential,Single Family,0,1,1,Medium-High,Own,0
CUST0000211,Customer_211,56,Female,Northeast,2021-07-02,42,Electricity+Water,Small Business,Condo,0,1,5,Medium-Low,Own,1
CUST0000212,Customer_212,65,Female,West,2010-07-02,174,Electricity+Water,Residential,Single Family,0,1,1,Medium-High,Own,1
CUST0000213,Customer_213,62,Male,Northeast,2021-01-31,47,Gas,Residential,Townhouse,0,0,4,High,Lease,0
CUST0000214,Customer_214,57,Male,Midwest,2009-10-01,183,Electricity+Gas,Residential,Mobile Home,0,1,7,Medium-Low,Own,1
CUST0000215,Customer_215,43,Male,West,2024-02-01,11,Electricity+Gas,Commercial,Apartment,0,1,3,High,Own,0
CUST0000216,Customer_216,59,Female,Southeast,2018-08-02,77,Electricity,Residential,Single Family,0,0,2,High,Rent,1
CUST0000217,Customer_217,36,Female,Northeast,2016-08-31,100,Electricity,Residential,Condo,0,0,2,Medium-High,Rent,1
