customer_id,tickets_last_30d,avg_resolution_time_hrs,last_ticket_date
C197,6,6.0,2025-11-13
C198,3,31.1,2025-10-30
C199,3,46.4,2025-10-29
C200,0,3.7,2025-10-17
C201,5,19.2,2025-10-05
C202,2,36.8,2025-11-07
C203,1,2.8,2025-10-05
C204,5,35.7,2025-10-19
C205,5,42.3,2025-10-24
C206,1,6.7,2025-11-06
C207,4,16.1,2025-10-09
C208,6,4.1,2025-10-23
C209,3,35.5,2025-11-12
C210,4,17.5,2025-11-30
C211,5,47.8,2025-10-26
C212,3,18.5,2025-10-17
C213,1,45.6,2025-12-02
C214,6,20.6,2025-10-19
C215,1,35.4,2025-10-13
C216,1,35.8,2025-11-11
C217,4,9.8,2025-10-28
C218,5,31.9,2025-10-07
C219,3,42.3,2025-10-21
C220,6,26.6,2025-10-08
C221,4,47.8,2025-11-16
C222,0,32.1,2025-10-06
C223,0,33.7,2025-10-31
C224,3,19.5,2025-11-09
C225,2,23.8,2025-10-14
C226,1,34.0,2025-11-14
C227,0,15.9,2025-11-16
C228,0,32.5,2025-10-22
C229,4,29.9,2025-10-13
C230,3,40.2,2025-10-11
C231,4,35.1,2025-10-12
C232,2,7.2,2025-10-11
C233,3,11.1,2025-10-17
C234,6,14.1,2025-11-07
C235,1,18.5,2025-10-31
C236,2,9.4,2025-11-09
C237,3,43.9,2025-11-18
C238,3,17.2,2025-10-05
C239,0,32.9,2025-12-02
C240,0,40.4,2025-11-16
C241,3,8.9,2025-10-10
C242,6,25.5,2025-11-20
C243,5,6.7,2025-10-21
C244,5,12.6,2025-10-23
C245,2,23.4,2025-10-11
C246,6,10.0,2025-10-07
C247,6,15.4,2025-11-25
C248,5,16.4,2025-11-21
C249,0,6.4,2025-11-22
C250,0,2.4,2025-10-13
C251,5,31.8,2025-10-26
C252,2,43.1,2025-11-13
C253,2,42.4,2025-10-10
C254,2,39.5,2025-10-16
C255,0,20.4,2025-11-03
C256,2,40.4,2025-11-18
C257,6,24.0,2025-10-31
C258,5,42.8,2025-10-15
C259,0,8.1,2025-11-20
C260,0,47.2,2025-11-28
C261,1,6.8,2025-12-02
C262,4,24.2,2025-11-10
C263,5,22.2,2025-11-13
C264,3,37.8,2025-11-13
C265,0,41.7,2025-11-30
C266,6,35.5,2025-12-01
C267,1,24.2,2025-11-05
C268,0,42.8,2025-11-02
C269,0,4.9,2025-11-15
C270,2,2.6,2025-11-29
C271,5,26.1,2025-11-21
C272,4,35.3,2025-10-19
C273,5,42.2,2025-11-07
C274,4,33.7,2025-11-13
C275,0,21.9,2025-11-20
C276,1,24.2,2025-11-16
C277,5,31.5,2025-10-14
C278,6,40.0,2025-12-01
C279,4,4.5,2025-11-15
C280,1,25.3,2025-11-04
C281,6,24.8,2025-10-15
C282,0,36.6,2025-10-25
C283,1,17.2,2025-10-22
C284,0,25.3,2025-11-09
C285,5,19.4,2025-11-26
C286,1,5.6,2025-11-02
C287,6,28.4,2025-10-10
C288,6,24.9,2025-10-25
C289,0,47.1,2025-11-21
C290,5,2.8,2025-10-30
C291,3,3.6,2025-11-09
C292,0,40.0,2025-11-24
C293,4,46.3,2025-11-14
C294,2,42.9,2025-11-09
C295,1,32.1,2025-11-03
C296,2,18.7,2025-10-08
C297,6,12.3,2025-11-03
C298,2,27.8,2025-11-13
C299,4,23.8,2025-11-16
C300,2,34.9,2025-10-12
C301,0,36.9,2025-10-19
C302,0,17.7,2025-11-27
C303,5,46.4,2025-10-23
C304,4,26.0,2025-11-18
C305,0,4.1,2025-10-15
C306,3,8.5,2025-11-19
C307,5,35.2,2025-10-11
C308,2,30.1,2025-10-17
C309,0,44.8,2025-10-30
C310,1,23.0,2025-11-24
C311,1,35.0,2025-10-11
C312,6,21.1,2025-11-14
C313,6,32.9,2025-10-12
C314,6,43.0,2025-11-03
C315,5,29.1,2025-11-06
C316,1,46.3,2025-10-05
C317,4,35.9,2025-11-09
C318,3,40.6,2025-11-04
C319,4,37.9,2025-12-02
C320,1,33.8,2025-10-16
C321,5,39.5,2025-10-11
C322,3,32.2,2025-11-12
C323,2,25.2,2025-10-29
C324,3,47.1,2025-12-02
C325,5,37.1,2025-10-22
C326,3,46.3,2025-10-23
C327,3,39.0,2025-10-13
C328,3,29.7,2025-11-30
C329,5,25.6,2025-11-27
C330,5,27.2,2025-10-25
C331,5,35.9,2025-11-09
C332,5,12.0,2025-10-18
C333,4,34.9,2025-11-17
C334,2,44.4,2025-10-13
C335,5,31.9,2025-10-16
C336,4,27.0,2025-11-14
C337,2,34.7,2025-11-22
C338,2,27.9,2025-11-11
C339,4,45.4,2025-11-19
C340,3,33.0,2025-12-01
C341,6,26.6,2025-11-30
C342,6,21.4,2025-10-05
C343,4,6.9,2025-10-29
C344,1,4.4,2025-10-08
C345,1,14.3,2025-11-24
C346,1,47.2,2025-11-17
C347,2,8.7,2025-10-08
C348,5,38.1,2025-10-18
C349,6,26.9,2025-10-27
C350,6,22.8,2025-11-13
C351,6,33.1,2025-11-09
C352,6,12.3,2025-11-15
C353,4,19.9,2025-11-06
C354,6,38.7,2025-11-18
C355,2,33.9,2025-10-08
C356,3,19.8,2025-11-24
C357,5,16.4,2025-11-09
C358,0,2.6,2025-10-21
C359,1,30.5,2025-11-23
C360,6,42.0,2025-11-27
C361,1,43.9,2025-11-19
C362,5,31.8,2025-11-22
C363,4,27.1,2025-11-12
C364,1,37.7,2025-10-17
C365,2,22.6,2025-11-17
C366,0,10.6,2025-10-16
C367,5,25.6,2025-10-29
C368,0,21.7,2025-11-09
C369,2,8.0,2025-11-11
C370,6,13.7,2025-10-26
C371,3,34.6,2025-10-14
C372,0,9.1,2025-10-25
C373,4,4.3,2025-11-14
C374,4,40.8,2025-10-24
C375,3,38.3,2025-11-09
C376,2,5.4,2025-11-19
C377,2,26.2,2025-10-16
C378,4,5.1,2025-11-06
C379,1,21.1,2025-11-08
C380,3,6.2,2025-10-19
C381,1,32.5,2025-10-26
C382,2,15.5,2025-11-22
C383,4,26.4,2025-11-09
C384,6,36.6,2025-11-15
C385,0,7.3,2025-10-27
C386,3,13.1,2025-11-15
C387,4,44.3,2025-10-20
C388,0,33.4,2025-10-25
C389,3,44.1,2025-10-12
C390,3,13.8,2025-11-20
C391,2,3.1,2025-11-07
C392,6,37.4,2025-11-06
C393,6,25.4,2025-11-05
C394,0,15.6,2025-11-15
C395,1,16.7,2025-10-10
C396,0,9.7,2025-11-23
C397,4,26.5,2025-11-14
C398,0,11.7,2025-11-14
C399,6,11.8,2025-11-17
C400,3,40.4,2025-10-18
C401,4,40.1,2025-11-30
C402,5,37.7,2025-11-15
C403,6,45.2,2025-11-21
C404,5,9.1,2025-11-03
C405,5,17.3,2025-10-10
C406,0,4.5,2025-11-24
C407,2,27.7,2025-11-10
C408,6,12.5,2025-10-21
C409,3,19.8,2025-11-14
C410,3,21.9,2025-10-06
C411,3,33.0,2025-11-08
C412,0,31.5,2025-11-13
C413,0,36.8,2025-11-11
C414,0,34.2,2025-10-09
C415,2,44.7,2025-10-11
C416,2,38.2,2025-10-24
C417,4,6.0,2025-11-22
C418,3,19.5,2025-11-26
C419,5,3.4,2025-10-15
C420,4,12.1,2025-11-21
C421,3,38.7,2025-11-28
C422,4,15.6,2025-11-14
C423,1,15.7,2025-11-30
C424,6,41.9,2025-11-15
C425,2,46.0,2025-10-05
C426,4,42.2,2025-10-14
C427,0,3.9,2025-11-10
C428,4,20.1,2025-11-09
C429,0,16.0,2025-11-21
C430,5,43.6,2025-10-27
C431,1,21.0,2025-11-15
C432,6,25.6,2025-10-15
C433,1,12.2,2025-11-27
C434,2,10.9,2025-10-16
C435,5,38.8,2025-11-28
C436,0,41.2,2025-11-09
C437,3,31.7,2025-10-09
C438,2,32.9,2025-10-21
C439,0,11.1,2025-11-11
C440,3,45.8,2025-10-27
C441,1,32.9,2025-10-20
C442,0,15.1,2025-10-09
C443,1,16.6,2025-11-02
C444,2,30.4,2025-10-24
C445,5,28.9,2025-11-10
C446,4,18.8,2025-10-25
C447,3,9.8,2025-10-25
C448,1,38.1,2025-11-19
C449,5,31.5,2025-10-22
C450,6,18.5,2025-11-17
C451,5,17.3,2025-11-04
C452,3,22.5,2025-11-23
C453,2,24.4,2025-10-11
C454,1,31.7,2025-10-10
C455,6,14.9,2025-11-26
C456,1,43.0,2025-10-17
C457,2,35.7,2025-11-14
C458,0,35.5,2025-12-01
C459,0,41.1,2025-11-14
C460,0,39.4,2025-11-11
C461,3,37.4,2025-10-18
C462,0,27.4,2025-11-08
C463,4,23.7,2025-11-23
C464,1,18.8,2025-10-19
C465,6,29.1,2025-11-28
C466,2,8.2,2025-11-06
C467,4,6.2,2025-10-28
C468,4,2.5,2025-10-20
C469,6,46.3,2025-11-13
C470,5,9.6,2025-11-06
C471,1,22.5,2025-10-16
C472,4,45.6,2025-11-16
C473,6,46.5,2025-11-21
C474,5,24.2,2025-10-27
C475,0,12.1,2025-11-05
C476,1,4.9,2025-10-28
C477,1,4.0,2025-10-18
C478,4,43.8,2025-10-28
C479,3,23.6,2025-11-03
C480,0,3.8,2025-11-15
C481,2,6.7,2025-11-07
C482,5,40.2,2025-11-27
C483,5,14.1,2025-11-08
C484,4,10.0,2025-11-15
C485,3,18.8,2025-11-15
C486,6,5.6,2025-10-21
C487,3,46.7,2025-10-19
C488,4,20.7,2025-11-26
C489,6,17.9,2025-11-24
C490,3,42.8,2025-10-05
C491,4,42.6,2025-11-02
C492,1,12.6,2025-11-06
C493,5,14.9,2025-10-14
C494,1,9.2,2025-11-12
C495,5,39.6,2025-11-16
C496,1,21.1,2025-10-26
C497,5,7.2,2025-11-17
C498,3,24.0,2025-11-11
C499,1,31.8,2025-10-31
C500,0,13.2,2025-10-13
