customer_id,last_login_date,avg_session_per_week,usage_drop_flag
C418,2025-12-01,4.0,0
C419,2025-10-19,5.2,0
C420,2025-10-07,6.0,0
C421,2025-10-20,0.3,1
C422,2025-10-29,6.4,0
C423,2025-11-28,0.2,1
C424,2025-10-19,2.3,1
C425,2025-12-02,5.0,1
C426,2025-11-26,0.5,1
C427,2025-10-12,3.5,0
C428,2025-10-16,1.6,0
C429,2025-10-30,0.5,1
C430,2025-11-29,2.0,1
C431,2025-10-25,0.6,1
C432,2025-10-05,2.6,1
C433,2025-11-10,5.5,0
C434,2025-11-03,2.6,1
C435,2025-11-23,5.4,0
C436,2025-10-14,0.0,1
C437,2025-10-06,1.6,1
C438,2025-11-14,5.9,0
C439,2025-10-26,0.0,1
C440,2025-11-28,5.2,1
C441,2025-10-11,1.4,0
C442,2025-10-31,3.4,0
C443,2025-10-14,5.0,0
C444,2025-10-07,6.4,1
C445,2025-11-18,6.3,1
C446,2025-11-21,0.6,0
C447,2025-11-06,0.9,1
C448,2025-10-09,4.1,0
C449,2025-11-01,4.6,0
C450,2025-10-20,2.0,1
C451,2025-11-25,2.8,1
C452,2025-10-25,3.2,0
C453,2025-10-09,6.6,0
C454,2025-11-23,5.4,0
C455,2025-10-14,0.7,1
C456,2025-11-03,2.2,0
C457,2025-11-08,2.5,0
C458,2025-11-02,2.2,1
C459,2025-11-28,0.8,0
C460,2025-11-25,4.8,0
C461,2025-10-18,5.9,1
C462,2025-10-14,0.6,0
C463,2025-10-27,2.8,0
C464,2025-11-17,2.1,0
C465,2025-10-06,6.7,1
C466,2025-11-09,5.2,0
C467,2025-10-11,3.2,0
C468,2025-10-12,0.1,0
C469,2025-10-13,1.4,1
C470,2025-10-28,4.8,0
C471,2025-11-11,4.1,0
C472,2025-10-06,7.0,0
C473,2025-12-01,4.5,0
C474,2025-10-10,6.3,1
C475,2025-10-12,0.3,1
C476,2025-10-08,1.2,1
C477,2025-11-26,5.1,1
C478,2025-10-06,2.7,1
C479,2025-10-16,2.5,0
C480,2025-10-22,2.0,0
C481,2025-10-07,4.3,0
C482,2025-11-15,2.1,1
C483,2025-11-30,3.9,0
C484,2025-10-10,2.0,0
C485,2025-10-31,1.4,0
C486,2025-11-14,7.0,0
C487,2025-10-29,5.5,1
C488,2025-11-04,3.8,1
C489,2025-10-27,6.4,1
C490,2025-10-29,1.9,0
C491,2025-10-25,4.2,0
C492,2025-12-01,5.7,1
C493,2025-10-08,5.7,1
C494,2025-11-07,2.5,0
C495,2025-10-15,0.7,0
C496,2025-10-22,3.7,0
C497,2025-11-22,7.0,0
C498,2025-11-10,5.9,1
C499,2025-10-27,6.5,0
C500,2025-10-16,1.7,1
