customer_id,census_median_income,neighborhood_crime_index,area_avg_property_value,distance_to_service_center_miles,num_competitors_in_area,area_satisfaction_index,renewable_energy_adoption_pct,avg_outages_per_year_area
CUST0000032,91139.0,8.75,273511.0,26.6,0,3.45,12.0,4
CUST0000033,43156.0,1.36,264865.0,6.0,2,2.08,12.2,3
CUST0000034,100991.0,1.51,458002.0,11.1,2,3.06,25.3,4
CUST0000035,33368.0,5.25,335546.0,25.0,3,4.57,22.7,3
CUST0000036,85227.0,3.82,119408.0,36.9,0,3.23,20.1,0
CUST0000037,43686.0,8.56,390099.0,30.9,3,3.12,0.1,3
CUST0000038,99469.0,9.23,193911.0,2.8,2,4.88,32.7,1
CUST0000039,53681.0,3.42,155855.0,7.2,0,4.26,0.3,3
CUST0000040,99477.0,1.6,336562.0,22.2,0,3.69,20.6,2
CUST0000041,55871.0,7.31,388375.0,6.5,0,3.22,28.3,2
CUST0000042,88651.0,7.64,530451.0,10.3,0,2.1,6.8,1
CUST0000043,115553.0,3.27,277046.0,8.8,4,2.0,14.1,2
CUST0000044,112663.0,7.0,272966.0,1.5,2,4.53,6.3,4
CUST0000045,44831.0,9.64,283363.0,45.0,1,2.64,36.5,4
CUST0000046,60401.0,2.03,551368.0,18.1,0,4.46,14.7,2
CUST0000047,38106.0,7.22,369143.0,41.6,1,3.59,1.6,2
CUST0000048,92355.0,3.36,199621.0,41.5,0,2.25,37.2,3
CUST0000049,91192.0,8.82,216730.0,42.0,3,4.06,13.1,2
CUST0000050,111825.0,9.23,424195.0,16.2,3,4.57,5.0,3
CUST0000051,57547.0,8.37,585226.0,24.6,1,3.01,33.9,7
CUST0000052,46390.0,9.52,277747.0,11.7,0,4.0,24.2,4
CUST0000053,33130.0,6.01,550587.0,11.7,3,2.68,8.5,3
CUST0000054,63318.0,5.52,290580.0,40.3,1,4.57,27.9,2
CUST0000055,116656.0,2.57,382075.0,15.5,2,3.15,12.5,5
CUST0000056,82132.0,1.49,339093.0,4.8,4,2.95,18.6,3
CUST0000057,110060.0,7.45,391015.0,21.9,2,3.77,37.2,4
CUST0000058,76593.0,6.85,580157.0,26.5,1,2.45,22.0,3
CUST0000059,95529.0,2.74,142067.0,44.1,2,2.32,38.7,2
CUST0000060,64451.0,1.53,439096.0,1.0,0,2.36,9.3,3
CUST0000061,119258.0,5.37,440552.0,41.0,1,2.91,16.1,1
CUST0000062,65337.0,5.32,556397.0,24.6,1,3.35,36.8,4
CUST0000063,42840.0,9.65,569941.0,15.4,2,2.29,28.4,2
CUST0000064,111632.0,3.15,119362.0,11.0,3,2.71,22.6,3
CUST0000065,35470.0,5.34,352453.0,37.9,4,4.44,27.8,2
CUST0000066,38248.0,8.32,414581.0,9.3,1,3.25,8.3,0
CUST0000067,72009.0,8.04,114666.0,45.8,0,3.22,21.4,0
CUST0000068,30072.0,7.92,190672.0,36.0,0,3.62,22.9,3
CUST0000069,92047.0,9.49,380587.0,10.2,0,2.61,34.6,0
CUST0000070,64269.0,9.49,395720.0,42.2,2,3.19,9.2,5
CUST0000071,94128.0,3.69,205341.0,25.6,0,3.79,9.6,1
CUST0000072,84609.0,9.26,190839.0,2.4,3,3.79,27.1,4
CUST0000073,113378.0,3.05,536287.0,28.7,0,2.05,26.6,2
CUST0000074,37191.0,7.47,371422.0,23.0,2,2.06,26.2,0
CUST0000075,85486.0,1.11,503594.0,5.1,0,2.55,30.0,3
CUST0000076,83942.0,8.91,158607.0,8.1,2,2.29,0.4,5
CUST0000077,61765.0,4.24,278779.0,10.1,2,2.56,10.5,3
CUST0000078,60393.0,3.91,535089.0,38.8,2,2.84,17.5,0
CUST0000079,31398.0,7.7,498001.0,31.9,1,3.75,19.6,4
CUST0000080,104788.0,5.97,339821.0,32.9,0,2.34,25.6,3
CUST0000081,96993.0,6.01,580875.0,7.4,0,2.11,27.7,6
CUST0000082,61515.0,3.01,417988.0,25.7,0,2.97,18.8,3
CUST0000083,73621.0,4.53,184059.0,39.2,1,2.07,15.4,4
CUST0000084,81654.0,5.97,113947.0,41.6,4,4.04,21.8,2
CUST0000085,55053.0,8.65,200587.0,12.4,2,4.53,26.0,2
CUST0000086,55181.0,1.11,131902.0,40.3,0,3.41,26.1,1
CUST0000087,118575.0,5.53,158416.0,10.8,0,4.12,30.7,5
CUST0000088,70201.0,1.12,251475.0,17.8,0,4.86,11.5,1
CUST0000089,36000.0,1.27,264538.0,34.6,2,4.27,26.2,4
CUST0000090,62499.0,5.39,283074.0,15.1,0,4.98,2.4,4
CUST0000091,33586.0,5.65,471847.0,10.8,3,4.31,13.2,2
CUST0000092,32185.0,6.15,375590.0,12.0,1,3.33,0.1,5
CUST0000093,101918.0,1.71,477346.0,9.9,1,4.18,13.5,3
CUST0000094,102585.0,6.68,235532.0,43.1,0,3.97,14.2,3
CUST0000095,54187.0,5.93,501724.0,47.2,0,4.62,12.4,6
CUST0000096,51737.0,6.06,366589.0,49.6,3,3.61,26.3,4
CUST0000097,53255.0,4.64,433253.0,40.8,2,4.4,17.3,4
CUST0000098,118938.0,4.21,593705.0,38.0,1,3.49,27.0,3
CUST0000099,94315.0,2.64,154586.0,24.8,1,3.41,15.7,0
CUST0000100,84659.0,8.27,239736.0,45.1,0,3.76,29.0,2
CUST0000101,113703.0,4.41,228263.0,23.1,0,4.91,5.8,7
CUST0000102,65404.0,7.04,283320.0,28.3,2,3.84,23.1,2
CUST0000103,47529.0,7.44,185261.0,1.0,2,3.6,33.8,1
CUST0000104,97413.0,6.69,267136.0,4.8,3,2.24,0.5,1
CUST0000105,70619.0,5.12,520624.0,49.7,3,2.86,36.7,6
CUST0000106,40332.0,8.17,138920.0,44.8,0,3.32,25.9,0
CUST0000107,32589.0,9.05,319090.0,0.7,1,3.45,38.2,3
CUST0000108,55112.0,4.38,525220.0,16.5,3,4.34,37.9,6
CUST0000109,104175.0,9.56,511486.0,7.2,0,4.74,23.4,3
CUST0000110,52930.0,3.61,283263.0,23.1,2,2.4,5.6,3
CUST0000111,69339.0,1.84,111877.0,42.8,2,4.17,2.6,6
CUST0000112,51630.0,7.96,541811.0,33.9,0,3.33,34.3,1
CUST0000113,67297.0,3.75,185303.0,24.2,3,3.77,17.6,5
CUST0000114,112520.0,9.56,426787.0,17.9,1,4.76,8.1,1
CUST0000115,55138.0,3.03,515127.0,31.6,0,2.43,25.7,2
CUST0000116,34994.0,1.29,159488.0,16.7,1,3.98,16.5,1
CUST0000117,46680.0,5.73,270843.0,13.8,1,2.82,37.1,2
CUST0000118,41377.0,5.65,466323.0,6.5,1,3.99,17.9,4
CUST0000119,44029.0,5.23,167886.0,11.5,0,3.64,7.9,3
CUST0000120,114156.0,8.58,189237.0,26.7,2,4.89,27.9,3
CUST0000121,80363.0,3.03,557857.0,6.2,2,4.83,5.8,1
CUST0000122,119503.0,6.6,573966.0,48.0,3,3.78,25.7,1
CUST0000123,95170.0,1.6,85731.0,47.3,3,2.4,11.2,1
CUST0000124,60660.0,1.41,301488.0,32.1,0,3.79,21.2,3
CUST0000125,113844.0,1.59,506658.0,24.5,1,3.37,11.2,4
CUST0000126,110948.0,4.5,120772.0,19.8,0,4.07,11.0,3
CUST0000127,117321.0,8.78,196058.0,7.1,0,2.52,30.1,2
CUST0000128,80346.0,9.74,360816.0,49.5,2,4.84,38.3,3
CUST0000129,62355.0,4.89,200639.0,29.3,3,3.5,5.6,2
CUST0000130,67997.0,1.39,527570.0,27.6,4,2.28,8.9,4
CUST0000131,39698.0,2.87,468330.0,5.2,1,2.46,9.8,4
CUST0000132,105131.0,6.61,413644.0,16.1,1,2.17,8.9,2
CUST0000133,112187.0,9.95,596371.0,5.1,0,2.84,38.9,2
CUST0000134,58853.0,2.28,326684.0,29.3,0,4.18,37.9,3
CUST0000135,66715.0,6.98,110757.0,11.4,3,3.49,0.9,2
CUST0000136,59573.0,3.56,584135.0,33.9,3,2.73,25.2,2
CUST0000137,102579.0,2.93,143899.0,41.7,2,2.35,6.0,2
CUST0000138,61453.0,6.09,387653.0,17.6,0,4.81,30.9,1
CUST0000139,72103.0,5.3,107255.0,33.1,3,2.46,1.5,1
CUST0000140,88004.0,5.7,253911.0,26.3,1,2.71,33.4,2
CUST0000141,88091.0,5.33,332089.0,8.4,2,2.2,20.2,5
CUST0000142,106956.0,3.91,83408.0,15.3,4,4.98,0.0,5
CUST0000143,95703.0,9.75,143975.0,38.4,0,3.22,0.6,5
CUST0000144,55566.0,5.38,491242.0,40.5,2,2.06,13.5,4
CUST0000145,85669.0,5.41,141673.0,12.1,2,2.34,8.7,2
CUST0000146,113846.0,4.44,421609.0,19.0,2,4.51,2.7,5
CUST0000147,60264.0,8.0,177711.0,27.8,0,4.55,20.1,1
CUST0000148,33304.0,9.41,210033.0,33.7,1,4.99,21.4,1
CUST0000149,87682.0,6.73,293483.0,24.3,2,3.28,38.3,0
CUST0000150,91473.0,1.92,86841.0,4.4,3,2.97,30.0,0
CUST0000151,78542.0,9.1,84633.0,10.1,0,4.13,27.1,1
CUST0000152,93585.0,5.07,479942.0,13.5,1,2.55,19.8,1
CUST0000153,64566.0,4.09,93119.0,46.1,0,3.64,12.0,5
CUST0000154,91830.0,5.36,413165.0,15.9,3,2.12,17.3,0
CUST0000155,84629.0,4.19,346046.0,44.9,0,2.46,4.2,2
CUST0000156,79561.0,3.15,460338.0,20.0,3,3.02,33.0,5
CUST0000157,63524.0,3.01,320563.0,4.9,0,4.93,37.9,6
CUST0000158,116701.0,8.77,112956.0,16.8,1,2.11,22.1,2
CUST0000159,88124.0,1.03,436641.0,44.3,0,3.15,25.0,3
CUST0000160,111736.0,2.9,521940.0,25.8,0,2.44,32.7,5
CUST0000161,115947.0,6.91,99058.0,41.0,1,3.93,15.7,0
CUST0000162,51381.0,8.59,388368.0,21.4,0,2.21,12.3,2
CUST0000163,50469.0,4.18,135694.0,40.8,1,4.64,9.5,4
CUST0000164,62674.0,9.91,546821.0,47.9,3,2.54,9.9,2
CUST0000165,64462.0,5.34,275070.0,19.6,0,2.73,7.2,2
CUST0000166,86967.0,3.94,156761.0,29.4,1,3.94,16.9,1
CUST0000167,117600.0,7.81,357027.0,31.4,1,4.0,13.4,1
CUST0000168,72488.0,8.4,252664.0,7.0,2,3.21,31.3,3
CUST0000169,67297.0,7.31,467901.0,12.6,3,2.88,25.9,5
CUST0000170,34358.0,6.14,301426.0,20.6,1,3.87,34.4,3
CUST0000171,117502.0,5.98,565657.0,13.0,0,3.66,26.6,3
CUST0000172,118096.0,9.19,314685.0,5.1,0,2.51,33.7,2
CUST0000173,88939.0,1.16,464084.0,23.9,2,2.51,16.8,4
CUST0000174,43042.0,7.36,81649.0,47.3,0,3.68,24.1,1
CUST0000175,110584.0,3.01,538569.0,38.8,1,4.77,35.0,9
CUST0000176,74053.0,8.91,529425.0,11.4,1,3.83,14.2,2
CUST0000177,85931.0,1.56,592264.0,26.7,2,4.53,12.8,4
CUST0000178,39182.0,2.15,534533.0,3.4,1,3.02,9.1,2
CUST0000179,95542.0,7.34,167533.0,20.5,0,3.52,33.8,5
CUST0000180,41295.0,1.63,523233.0,42.8,1,4.48,25.6,4
CUST0000181,67296.0,6.84,95648.0,40.7,0,4.12,8.0,2
CUST0000182,91957.0,3.95,597020.0,7.7,1,4.66,20.8,1
CUST0000183,103582.0,2.68,538329.0,21.0,1,4.19,28.4,5
CUST0000184,50895.0,6.52,231161.0,46.2,0,2.91,4.3,4
CUST0000185,60277.0,1.83,94136.0,36.6,1,3.25,39.2,4
CUST0000186,64742.0,7.64,350196.0,44.0,2,3.28,7.4,3
CUST0000187,74728.0,2.91,183455.0,44.5,2,2.78,26.4,3
CUST0000188,118063.0,2.86,228117.0,43.8,1,3.27,11.4,4
CUST0000189,69996.0,8.21,96728.0,6.8,2,3.12,12.5,0
CUST0000190,108567.0,3.75,518038.0,40.9,3,4.01,9.2,2
CUST0000191,101510.0,6.29,457825.0,26.5,3,4.07,32.5,5
CUST0000192,37139.0,2.71,314749.0,11.8,4,3.72,33.5,2
CUST0000193,117141.0,6.58,192793.0,13.6,0,2.78,13.5,2
CUST0000194,113643.0,6.43,215855.0,5.6,2,3.98,31.3,4
CUST0000195,37906.0,8.62,581057.0,47.8,3,4.26,4.6,2
CUST0000196,77359.0,2.51,126360.0,10.7,1,3.34,31.4,1
CUST0000197,30206.0,9.7,105967.0,22.2,0,2.12,5.4,1
CUST0000198,74695.0,2.04,191233.0,16.4,3,2.42,38.2,3
CUST0000199,113979.0,8.1,158503.0,26.1,0,4.14,30.8,3
CUST0000200,88598.0,4.44,248130.0,11.9,0,2.3,9.2,1
CUST0000201,40054.0,2.1,134575.0,15.6,1,3.35,29.1,1
CUST0000202,78256.0,5.31,249895.0,44.5,1,2.44,33.5,2
CUST0000203,56440.0,8.34,244326.0,30.1,2,2.16,19.7,1
CUST0000204,74789.0,6.98,204504.0,24.3,1,2.75,19.6,1
CUST0000205,87236.0,7.75,207654.0,35.4,1,3.94,38.0,3
CUST0000206,116708.0,6.45,460724.0,29.8,0,3.47,0.1,1
CUST0000207,96833.0,8.24,292269.0,18.7,1,4.09,4.4,3
CUST0000208,64007.0,3.31,249821.0,43.4,1,2.88,24.5,1
CUST0000209,101598.0,2.87,202966.0,13.9,3,4.73,3.2,1
CUST0000210,60509.0,5.09,561860.0,20.6,3,2.16,9.4,2
CUST0000211,91186.0,1.02,217577.0,34.2,1,4.01,13.7,4
CUST0000212,59273.0,8.3,563547.0,23.0,1,2.94,0.3,2
CUST0000213,74878.0,6.19,258914.0,13.8,1,3.75,20.0,3
CUST0000214,74965.0,7.43,166738.0,12.0,4,2.55,21.0,0
CUST0000215,69854.0,4.97,474341.0,12.5,0,4.9,36.7,1
CUST0000216,62661.0,8.61,419359.0,37.8,3,4.53,10.5,6
CUST0000217,39489.0,1.0,83601.0,48.0,1,2.2,9.6,1
CUST0000218,59412.0,5.82,497168.0,1.3,1,3.42,27.1,1
CUST0000219,113384.0,2.26,599697.0,31.8,2,3.87,10.6,2
CUST0000220,76191.0,2.93,350351.0,42.8,3,4.14,28.0,1
CUST0000221,97033.0,3.44,213295.0,2.8,3,2.96,28.2,2
CUST0000222,73979.0,9.34,578014.0,23.2,2,3.15,5.1,1
CUST0000223,38070.0,8.01,257985.0,13.9,1,2.45,19.8,2
CUST0000224,31086.0,1.65,442520.0,37.1,3,2.93,2.6,2
CUST0000225,111077.0,8.11,306846.0,19.8,0,4.85,5.5,2
CUST0000226,64566.0,2.32,463075.0,8.0,0,3.47,36.9,4
CUST0000227,101029.0,3.61,162812.0,23.4,1,2.9,14.9,3
CUST0000228,112827.0,9.05,155824.0,46.8,0,2.65,14.4,5
CUST0000229,109594.0,9.57,541505.0,33.5,3,2.57,23.9,1
CUST0000230,39722.0,6.15,176737.0,16.9,3,4.87,14.6,2
CUST0000231,67204.0,6.54,545989.0,15.4,1,2.69,8.4,3
CUST0000232,33317.0,2.97,564513.0,31.7,2,3.81,22.4,2
CUST0000233,36933.0,8.68,589408.0,34.8,1,3.76,20.9,2
CUST0000234,112188.0,2.54,357153.0,38.0,0,4.53,8.9,4
CUST0000235,106245.0,1.08,396415.0,3.6,0,4.28,35.0,3
CUST0000236,63693.0,7.48,498227.0,19.8,1,2.78,33.4,2
CUST0000237,44263.0,7.31,385822.0,45.7,3,3.95,20.3,1
CUST0000238,61250.0,1.27,525329.0,28.4,4,3.44,0.7,3
CUST0000239,119061.0,4.98,261106.0,13.1,1,2.15,26.3,4
CUST0000240,52617.0,9.23,475397.0,33.4,2,2.25,34.9,0
CUST0000241,71222.0,6.73,179502.0,30.1,2,4.17,2.5,2
CUST0000242,61314.0,6.59,361564.0,19.7,4,4.8,4.4,3
CUST0000243,47741.0,2.71,386962.0,27.8,0,3.98,9.6,2
CUST0000244,108790.0,8.64,442654.0,31.7,0,3.72,33.3,5
CUST0000245,67068.0,6.49,403800.0,29.2,2,4.61,9.9,2
CUST0000246,74463.0,1.99,554547.0,34.7,2,4.71,30.2,3
CUST0000247,115544.0,1.93,185739.0,9.1,0,2.76,15.4,2
CUST0000248,30390.0,5.03,203298.0,36.7,0,3.4,39.6,2
CUST0000249,100819.0,4.02,520074.0,7.7,1,2.39,17.7,6
CUST0000250,62080.0,8.27,213758.0,47.0,0,3.76,22.1,3
CUST0000251,111153.0,2.56,194489.0,27.9,0,3.89,11.5,5
CUST0000252,52575.0,1.74,392346.0,31.3,1,4.08,26.5,3
CUST0000253,106976.0,1.62,151040.0,44.8,3,3.29,33.1,2
CUST0000254,83663.0,5.74,536449.0,18.8,1,2.82,18.7,2
CUST0000255,77210.0,5.97,337490.0,45.4,4,3.84,19.5,5
CUST0000256,97143.0,3.59,584874.0,37.2,2,4.01,5.3,9
CUST0000257,47151.0,8.16,497817.0,28.2,3,3.68,9.7,8
CUST0000258,90216.0,5.52,364152.0,7.8,1,3.08,6.3,2
CUST0000259,86203.0,2.41,538603.0,40.7,2,4.86,16.4,3
CUST0000260,110813.0,7.46,334783.0,40.1,0,4.5,29.8,2
CUST0000261,55819.0,1.77,162649.0,3.6,0,4.8,8.3,0
CUST0000262,74957.0,4.7,555822.0,45.8,1,3.44,17.5,2
CUST0000263,58702.0,2.59,491842.0,11.1,1,4.26,0.7,5
CUST0000264,35500.0,3.82,209453.0,7.5,2,2.5,31.7,3
CUST0000265,75557.0,7.59,421900.0,42.3,1,4.75,37.9,2
CUST0000266,75355.0,1.34,179848.0,13.4,3,3.63,13.1,3
CUST0000267,33715.0,8.72,138090.0,46.5,1,4.39,33.2,3
CUST0000268,64077.0,7.19,244138.0,42.8,3,4.96,39.8,1
CUST0000269,54444.0,8.34,368031.0,11.8,1,4.01,21.0,2
CUST0000270,117152.0,7.13,161717.0,43.1,2,2.43,15.0,1
CUST0000271,75421.0,7.46,541254.0,8.8,1,3.73,10.2,4
CUST0000272,32959.0,9.73,386604.0,9.3,0,4.07,35.8,4
CUST0000273,86131.0,7.89,549291.0,31.5,1,4.22,34.8,4
CUST0000274,72243.0,2.32,424642.0,42.1,2,3.9,34.9,1
CUST0000275,35730.0,1.93,443777.0,33.0,1,3.17,20.4,1
CUST0000276,46888.0,6.81,107558.0,15.2,4,4.31,19.2,2
CUST0000277,62196.0,6.83,379893.0,41.8,1,2.68,22.9,3
CUST0000278,79531.0,5.17,373595.0,12.7,2,3.03,20.5,3
CUST0000279,99239.0,6.03,540905.0,16.7,2,3.35,37.1,2
CUST0000280,75464.0,2.25,440102.0,26.4,2,3.81,9.3,2
CUST0000281,48686.0,4.88,432846.0,20.8,0,4.41,34.7,3
CUST0000282,64617.0,3.6,229228.0,44.4,1,4.2,20.4,3
CUST0000283,82832.0,7.29,117752.0,14.4,2,3.78,27.3,5
CUST0000284,33302.0,8.54,104023.0,25.6,0,4.85,4.2,3
CUST0000285,38029.0,5.17,342643.0,40.7,0,2.11,33.5,7
CUST0000286,101957.0,5.69,250404.0,38.5,2,3.07,17.8,4
CUST0000287,93282.0,6.47,176356.0,31.1,1,3.36,36.6,6
CUST0000288,113942.0,1.57,172493.0,39.7,3,2.46,7.0,4
CUST0000289,70120.0,2.7,576809.0,48.8,1,2.51,6.1,2
CUST0000290,33056.0,7.76,352625.0,19.3,1,3.2,3.8,2
CUST0000291,55409.0,4.99,599952.0,42.2,0,4.49,30.7,3
CUST0000292,69699.0,7.3,298935.0,30.4,3,4.16,12.1,3
CUST0000293,59221.0,3.83,574357.0,46.9,2,2.77,26.6,2
CUST0000294,79246.0,3.62,88469.0,10.3,0,3.89,7.9,1
CUST0000295,88374.0,4.67,116686.0,20.3,1,4.3,5.9,6
CUST0000296,76796.0,6.93,288540.0,43.5,1,2.85,14.0,2
CUST0000297,69524.0,4.23,260397.0,13.9,2,4.32,7.5,3
CUST0000298,51251.0,8.87,380835.0,19.6,1,2.73,10.1,3
CUST0000299,39097.0,6.53,147310.0,8.0,2,4.38,15.4,1
CUST0000300,98968.0,2.12,404673.0,48.0,2,4.57,37.0,3
CUST0000301,51597.0,4.02,477359.0,9.0,1,4.27,32.8,3
CUST0000302,117919.0,5.28,526510.0,8.2,1,2.79,27.3,4
CUST0000303,30742.0,4.83,466795.0,16.0,3,4.46,9.6,3
CUST0000304,63934.0,1.01,423258.0,45.4,3,3.59,30.8,4
CUST0000305,116376.0,5.66,425512.0,5.5,3,4.66,34.6,3
CUST0000306,62204.0,8.63,516338.0,35.7,2,2.12,38.9,5
CUST0000307,74966.0,5.03,243289.0,35.3,1,2.37,9.2,5
CUST0000308,45928.0,1.72,181969.0,1.4,1,2.03,13.5,4
CUST0000309,90046.0,3.14,408895.0,11.6,1,3.23,18.3,2
CUST0000310,37386.0,3.38,380081.0,16.2,1,2.33,36.7,3
CUST0000311,113193.0,2.95,437817.0,40.1,3,3.08,7.3,5
CUST0000312,116217.0,2.9,545398.0,7.0,0,3.69,18.9,1
CUST0000313,49849.0,1.12,300988.0,9.6,1,4.39,32.9,2
CUST0000314,64926.0,7.0,134798.0,29.8,2,2.89,12.4,2
CUST0000315,108146.0,6.88,579970.0,32.5,3,4.38,23.3,2
CUST0000316,100616.0,8.41,168062.0,22.1,2,2.73,17.9,1
CUST0000317,81089.0,5.97,547466.0,44.5,1,4.46,18.8,2
CUST0000318,67348.0,3.96,202174.0,29.1,0,4.13,4.0,2
CUST0000319,102751.0,8.47,494625.0,16.6,3,2.89,19.0,0
CUST0000320,84417.0,1.34,388555.0,8.4,1,3.34,26.1,5
CUST0000321,75813.0,9.23,471252.0,8.9,3,2.83,10.6,1
CUST0000322,75011.0,5.01,228446.0,36.3,1,2.5,26.1,1
CUST0000323,74886.0,8.59,104088.0,43.5,4,3.59,22.3,10
CUST0000324,57619.0,7.71,567361.0,7.7,2,2.88,6.3,8
CUST0000325,100698.0,6.68,237188.0,41.9,1,2.02,7.6,1
CUST0000326,88828.0,6.32,449760.0,37.2,2,4.04,11.6,1
CUST0000327,84577.0,3.76,246451.0,22.4,0,4.12,16.2,3
CUST0000328,31084.0,4.84,226159.0,11.8,2,2.84,0.4,2
CUST0000329,94516.0,3.51,381216.0,10.6,1,3.67,25.8,2
CUST0000330,80949.0,7.53,286271.0,47.4,3,4.17,33.4,3
CUST0000331,63856.0,4.13,536530.0,20.5,0,4.32,38.4,6
CUST0000332,72469.0,8.68,465970.0,43.4,2,2.25,29.0,3
CUST0000333,107794.0,7.46,471611.0,25.7,1,4.53,12.1,4
CUST0000334,106645.0,5.5,304344.0,45.4,1,2.84,25.7,4
CUST0000335,78505.0,1.3,475790.0,12.1,1,4.4,4.1,3
CUST0000336,76295.0,8.88,403248.0,47.2,0,2.92,34.1,2
CUST0000337,79927.0,3.84,515815.0,47.5,1,2.83,15.7,3
CUST0000338,55361.0,4.55,575675.0,38.7,1,3.94,0.6,1
CUST0000339,93192.0,4.93,279190.0,27.2,0,3.24,15.3,5
CUST0000340,100348.0,2.91,169000.0,6.4,3,3.18,13.5,2
CUST0000341,50998.0,5.45,559121.0,41.7,1,2.52,5.5,6
CUST0000342,88202.0,8.41,533265.0,3.0,3,2.12,14.6,3
CUST0000343,103559.0,1.64,164458.0,1.3,1,2.29,25.3,3
CUST0000344,86161.0,4.69,246887.0,20.3,2,3.99,1.5,1
CUST0000345,113111.0,9.09,559237.0,31.9,3,2.51,34.9,3
CUST0000346,94932.0,7.87,304470.0,42.5,3,3.0,19.9,8
CUST0000347,45805.0,3.42,168921.0,3.3,0,2.37,27.1,0
CUST0000348,105609.0,7.41,488366.0,33.3,1,4.09,23.1,5
CUST0000349,66496.0,8.56,553952.0,17.0,1,3.45,24.0,4
CUST0000350,43750.0,8.57,88253.0,46.5,0,2.13,1.7,4
CUST0000351,91071.0,7.67,499122.0,4.1,0,2.14,9.0,5
CUST0000352,46490.0,9.78,158506.0,42.9,1,4.65,15.4,2
CUST0000353,106572.0,1.23,292907.0,42.7,0,4.5,31.6,2
CUST0000354,54816.0,5.46,594581.0,13.3,2,2.97,11.8,3
CUST0000355,116864.0,7.56,483067.0,15.6,2,4.36,14.9,3
CUST0000356,110799.0,2.1,297252.0,49.8,3,3.0,24.5,4
CUST0000357,56342.0,7.09,331689.0,22.1,2,3.47,8.8,2
CUST0000358,35328.0,1.17,428753.0,21.1,1,2.6,8.6,6
CUST0000359,55465.0,2.2,275898.0,2.3,1,2.34,9.4,1
CUST0000360,55171.0,8.57,118959.0,48.8,3,4.58,3.8,1
CUST0000361,96352.0,9.35,365930.0,35.9,2,3.69,39.5,2
CUST0000362,97795.0,9.72,501896.0,9.4,2,4.94,6.2,1
CUST0000363,82784.0,5.93,231046.0,20.7,2,3.15,31.7,2
CUST0000364,118936.0,6.49,422583.0,9.5,0,3.62,0.5,1
CUST0000365,89753.0,4.09,505161.0,9.9,2,4.72,26.9,2
CUST0000366,75954.0,4.23,464242.0,28.6,0,2.53,3.5,2
CUST0000367,117529.0,5.86,526944.0,6.7,0,4.49,4.5,6
CUST0000368,63074.0,5.91,191186.0,11.4,2,3.32,10.8,2
CUST0000369,89301.0,7.55,409045.0,47.6,1,3.43,9.7,1
CUST0000370,107722.0,6.8,468008.0,44.6,1,3.64,25.9,4
CUST0000371,62183.0,2.63,418899.0,24.7,3,2.18,20.1,2
CUST0000372,87539.0,8.13,593377.0,32.1,1,4.68,12.7,2
CUST0000373,101249.0,2.49,473289.0,35.1,2,2.64,5.6,1
