cust_id,contact_date,contact_channel,sat_score,call_duration_mins,issue_resolved
C00093,2023-06-23,Email,5,10,1
C00093,2023-02-05,Phone,5,33,0
C00093,2024-05-18,Email,2,9,0
C00093,2023-02-01,Email,3,5,1
C00093,2023-01-12,Email,3,9,1
C00093,2024-09-19,Web Chat,3,10,1
C00093,2024-09-10,Email,4,7,1
C00093,2024-01-02,Email,1,16,1
C00094,2023-03-11,Email,2,8,1
C00094,2023-10-05,Email,3,7,1
C00094,2024-04-18,Phone,3,19,1
C00095,2024-03-12,Web Chat,3,19,1
C00095,2024-06-10,Email,3,9,1
C00096,2024-10-18,Phone,4,50,1
C00096,2024-03-22,Phone,2,55,1
C00096,2024-10-20,Email,3,8,1
C00097,2023-02-22,Web Chat,5,9,1
C00097,2023-10-12,Web Chat,4,6,1
C00098,2023-08-28,Web Chat,3,8,0
C00099,2024-03-10,Email,2,19,0
C00099,2024-11-03,Phone,3,22,1
C00099,2024-04-02,Web Chat,5,4,1
C00099,2023-10-25,Web Chat,4,10,1
C00099,2023-01-05,Web Chat,5,11,1
C00100,2024-12-04,Phone,3,51,1
C00100,2024-10-17,Phone,2,51,1
C00100,2023-01-04,Email,4,19,1
C00101,2023-03-11,Phone,3,59,0
C00101,2023-03-23,Phone,3,46,1
C00101,2023-01-04,Email,2,14,1
C00102,2023-01-16,Phone,3,52,1
C00102,2023-03-09,Phone,4,38,1
C00102,2024-05-09,Email,4,19,0
C00102,2024-10-11,Phone,4,43,1
C00103,2023-04-15,Web Chat,3,10,1
C00104,2023-07-08,Email,5,16,0
C00104,2024-11-25,Email,2,7,1
C00104,2023-03-09,Web Chat,5,6,1
C00104,2024-12-27,Phone,4,48,0
C00104,2024-06-20,Phone,2,36,1
C00105,2024-05-25,Email,2,5,0
C00105,2023-11-16,Phone,5,59,0
C00105,2024-03-16,Phone,3,19,1
C00106,2024-04-19,Email,3,14,0
C00106,2024-11-07,Phone,2,48,1
C00106,2023-08-24,Email,4,19,1
C00106,2023-12-25,Phone,3,53,1
C00107,2023-05-18,Web Chat,1,11,1
C00108,2023-05-23,Web Chat,5,9,1
C00108,2024-05-28,Web Chat,3,17,0
C00108,2024-11-14,Web Chat,2,14,0
C00108,2024-04-15,Phone,4,32,1
C00108,2024-02-07,Phone,4,51,1
C00109,2024-09-28,Email,5,16,1
C00109,2023-01-12,Phone,2,25,1
C00109,2024-04-17,Web Chat,1,19,1
C00109,2024-02-18,Email,5,8,0
C00109,2024-12-10,Email,2,17,1
C00110,2023-01-08,Phone,5,18,1
C00110,2024-01-04,Web Chat,4,18,1
C00110,2023-02-02,Phone,5,28,1
C00111,2023-02-26,Web Chat,3,8,0
C00111,2024-03-17,Email,4,18,1
C00112,2024-01-26,Web Chat,2,14,0
C00112,2023-05-16,Phone,3,30,0
C00112,2023-10-22,Web Chat,5,7,1
C00112,2023-10-09,Web Chat,5,5,1
C00113,2023-05-09,Email,3,15,1
C00113,2024-11-07,Phone,5,39,1
C00114,2023-04-11,Web Chat,2,17,0
C00114,2024-03-22,Email,5,13,0
C00114,2024-02-14,Email,1,18,1
C00115,2024-07-21,Phone,4,40,1
C00116,2024-12-07,Web Chat,2,15,1
C00116,2024-05-02,Web Chat,4,9,1
C00116,2024-05-22,Web Chat,4,13,1
C00117,2024-05-20,Email,2,9,1
C00117,2024-04-17,Phone,4,37,0
C00117,2024-12-15,Phone,4,58,1
C00118,2024-07-01,Web Chat,4,3,1
C00118,2024-09-04,Email,3,17,1
C00118,2023-12-11,Email,1,6,1
C00118,2023-03-06,Phone,4,44,1
C00119,2024-03-16,Email,5,18,1
C00120,2024-06-22,Email,4,6,1
C00120,2023-08-25,Phone,5,23,1
C00120,2023-05-09,Web Chat,4,10,0
C00120,2023-01-09,Email,4,10,0
C00120,2024-06-21,Email,5,5,1
C00121,2023-09-19,Web Chat,3,10,1
C00121,2023-11-18,Phone,3,56,1
C00121,2023-10-10,Web Chat,5,14,1
C00121,2024-06-14,Web Chat,4,16,1
C00122,2024-09-12,Email,4,4,1
C00122,2023-06-28,Email,4,8,1
C00123,2023-04-05,Phone,4,31,0
C00123,2023-01-10,Web Chat,5,16,1
C00123,2024-08-14,Phone,3,56,1
C00123,2023-12-14,Phone,1,24,1
C00123,2023-06-08,Web Chat,4,7,1
C00124,2023-07-14,Web Chat,5,10,1
C00124,2024-09-08,Web Chat,4,12,0
C00124,2023-03-26,Email,5,6,1
C00125,2023-09-03,Phone,5,39,1
C00125,2024-08-10,Web Chat,3,8,1
C00125,2023-05-24,Email,5,15,1
C00125,2024-01-04,Web Chat,5,12,1
C00126,2023-06-19,Email,4,18,1
C00126,2024-07-23,Email,2,14,1
C00126,2023-10-16,Phone,3,51,1
C00126,2023-08-14,Web Chat,5,11,0
C00127,2024-07-09,Phone,3,17,1
C00128,2023-09-19,Email,2,15,1
C00128,2023-12-15,Web Chat,4,13,1
C00128,2024-12-14,Web Chat,5,18,1
C00128,2024-12-14,Email,2,13,1
C00128,2024-03-27,Email,5,5,0
C00129,2023-07-15,Web Chat,3,14,1
C00129,2023-09-01,Web Chat,5,6,0
C00129,2024-11-15,Email,2,14,0
C00130,2023-02-13,Email,5,19,1
C00130,2024-05-24,Web Chat,3,8,1
C00131,2024-02-06,Email,3,3,1
C00131,2023-02-23,Email,3,10,1
C00131,2024-11-23,Phone,2,36,0
C00131,2023-11-22,Phone,3,15,1
C00131,2024-01-28,Phone,2,54,1
C00132,2024-06-08,Web Chat,5,13,1
C00132,2023-03-10,Email,4,10,1
C00133,2024-07-05,Phone,3,36,1
C00133,2024-09-17,Web Chat,4,11,1
C00133,2023-08-08,Email,3,15,1
C00134,2024-07-24,Phone,5,35,1
C00134,2024-11-04,Web Chat,2,13,1
C00134,2024-09-10,Email,5,17,1
C00134,2024-12-05,Web Chat,4,16,1
C00135,2024-03-06,Email,4,17,1
C00135,2024-01-15,Phone,4,47,1
C00136,2023-02-06,Web Chat,4,12,1
C00136,2024-07-22,Email,4,14,1
C00136,2023-09-05,Web Chat,3,10,0
C00136,2024-10-26,Web Chat,5,18,1
C00137,2023-10-01,Web Chat,4,8,1
C00137,2023-06-23,Email,4,18,0
C00138,2024-03-16,Web Chat,5,3,1
C00138,2023-09-14,Web Chat,3,7,0
C00138,2024-11-17,Web Chat,4,10,0
C00138,2024-10-16,Email,5,7,1
C00139,2023-11-11,Phone,5,55,1
C00140,2023-09-14,Web Chat,5,5,1
C00140,2023-12-07,Phone,2,53,0
C00140,2024-05-18,Web Chat,3,15,1
C00141,2023-06-10,Web Chat,4,8,0
C00141,2024-08-16,Phone,4,32,1
C00141,2023-05-15,Web Chat,3,10,1
C00142,2024-12-07,Phone,4,16,1
C00142,2023-02-13,Phone,5,55,0
C00143,2023-08-18,Phone,1,52,1
C00143,2023-12-15,Email,4,8,1
C00144,2023-04-20,Web Chat,4,5,0
C00144,2024-11-05,Web Chat,3,5,0
C00144,2023-06-04,Web Chat,5,13,1
C00145,2023-08-13,Web Chat,2,6,1
C00145,2024-10-09,Email,5,18,1
C00145,2024-09-12,Email,5,16,1
C00146,2024-01-16,Web Chat,3,14,1
C00147,2023-10-03,Web Chat,1,12,0
C00147,2023-11-16,Phone,4,33,1
C00147,2023-12-25,Email,3,15,1
C00147,2024-07-10,Web Chat,2,10,0
C00148,2024-07-09,Email,2,8,1
C00148,2023-11-13,Email,3,9,1
C00149,2024-07-19,Web Chat,4,16,1
C00149,2023-06-02,Web Chat,5,13,1
C00149,2024-07-18,Phone,2,21,1
C00149,2024-11-09,Email,2,17,0
C00150,2024-05-11,Web Chat,2,5,1
C00150,2024-09-10,Web Chat,4,12,0
C00150,2023-02-07,Email,2,8,1
C00151,2023-01-07,Web Chat,3,4,1
C00151,2023-05-04,Phone,5,19,0
C00152,2023-07-05,Phone,2,32,1
C00152,2023-12-16,Web Chat,5,15,1
C00152,2024-05-16,Phone,3,26,1
C00152,2024-12-10,Phone,5,21,1
C00153,2024-10-19,Web Chat,5,5,0
C00153,2024-03-01,Email,3,12,1
C00153,2023-02-17,Phone,2,15,1
C00153,2024-12-14,Email,4,17,1
C00153,2023-05-03,Email,4,17,1
C00153,2023-10-09,Phone,5,59,0
C00153,2024-01-12,Web Chat,5,9,1
C00154,2024-02-28,Email,4,3,1
C00154,2024-07-11,Email,4,8,1
C00155,2023-02-08,Email,4,11,1
C00156,2023-08-25,Web Chat,3,6,1
C00157,2023-01-26,Email,3,9,1
C00157,2023-01-02,Email,4,17,1
C00158,2023-10-28,Phone,5,45,1
C00158,2023-11-07,Email,3,11,1
C00158,2023-03-06,Email,4,11,1
C00159,2023-08-08,Phone,4,29,1
C00159,2023-04-18,Email,2,10,1
C00160,2023-06-20,Email,3,10,1
C00160,2024-01-17,Web Chat,2,6,1
C00161,2023-06-15,Web Chat,5,19,1
C00161,2024-03-23,Email,3,15,0
C00161,2024-07-11,Phone,4,39,1
C00161,2024-08-28,Phone,2,42,1
C00162,2024-12-01,Web Chat,5,15,1
C00162,2024-03-23,Web Chat,4,5,1
C00162,2024-03-17,Web Chat,2,16,0
C00162,2023-02-01,Email,4,19,1
C00162,2023-08-02,Web Chat,4,19,1
C00163,2024-02-20,Email,1,5,1
C00163,2024-08-21,Email,4,9,1
C00163,2024-08-21,Phone,4,23,1
C00163,2024-04-15,Email,5,8,0
C00163,2024-07-24,Phone,4,33,1
C00164,2023-09-20,Email,3,11,1
C00164,2023-09-16,Email,3,9,1
C00164,2024-07-21,Web Chat,3,16,1
C00164,2024-04-28,Web Chat,2,7,1
C00164,2023-04-14,Web Chat,3,18,1
C00164,2024-10-22,Phone,4,37,1
C00165,2024-09-04,Email,5,8,1
C00165,2023-12-17,Email,5,14,0
C00165,2024-03-15,Phone,3,46,1
C00165,2024-06-21,Web Chat,5,17,1
C00166,2023-07-13,Phone,4,18,1
C00167,2024-08-03,Web Chat,1,10,1
C00167,2024-09-21,Email,2,3,1
C00168,2023-02-13,Email,4,7,1
C00168,2024-01-24,Web Chat,2,15,1
C00169,2024-08-14,Email,2,11,1
C00169,2023-10-09,Web Chat,2,16,1
C00169,2023-02-23,Phone,5,50,1
C00169,2024-11-05,Email,5,18,0
C00169,2023-04-12,Phone,2,20,1
C00170,2024-07-09,Email,4,5,1
C00170,2023-11-03,Web Chat,4,5,0
C00170,2023-01-24,Email,3,17,1
C00171,2024-06-07,Email,2,3,1
C00171,2024-11-07,Email,1,5,1
C00171,2024-05-08,Email,5,9,1
C00171,2023-10-23,Email,4,14,0
C00171,2023-03-22,Phone,4,45,1
C00172,2023-05-16,Phone,5,32,1
C00172,2024-07-15,Email,3,5,1
C00173,2023-05-25,Phone,5,16,1
C00173,2024-11-19,Phone,5,41,1
C00173,2023-04-03,Phone,5,52,1
C00173,2023-08-13,Web Chat,4,12,1
C00174,2024-12-08,Email,1,11,0
C00174,2023-01-25,Web Chat,4,6,0
C00174,2023-10-24,Web Chat,4,6,1
C00175,2024-12-27,Web Chat,5,11,1
C00175,2024-03-20,Web Chat,4,13,1
C00175,2024-08-05,Email,2,12,1
C00176,2024-11-18,Web Chat,5,6,1
C00176,2024-11-14,Web Chat,5,13,1
C00176,2023-08-14,Phone,4,44,0
C00177,2024-06-15,Email,4,16,1
C00177,2024-05-04,Web Chat,5,3,1
C00177,2024-11-21,Web Chat,5,4,0
C00177,2023-01-15,Phone,5,18,1
C00178,2023-04-08,Phone,3,55,1
C00178,2023-04-02,Phone,3,55,1
C00178,2024-03-16,Phone,4,20,1
C00179,2023-09-26,Web Chat,4,14,1
C00179,2023-01-16,Web Chat,1,14,0
C00179,2023-07-24,Web Chat,4,10,1
C00180,2024-08-14,Email,3,3,1
C00180,2023-04-14,Email,3,13,0
C00180,2023-09-02,Phone,1,55,1
C00181,2023-06-05,Web Chat,4,17,0
C00181,2023-01-18,Email,5,16,1
C00182,2024-09-17,Web Chat,5,9,1
C00183,2023-10-15,Email,4,9,1
C00183,2023-12-08,Email,3,6,1
C00183,2023-04-01,Phone,5,55,1
C00184,2024-05-03,Email,3,4,1
C00184,2023-10-24,Phone,3,40,1
C00185,2024-08-18,Web Chat,2,7,0
C00185,2024-08-12,Email,5,11,1
C00185,2023-01-03,Web Chat,5,4,1
C00185,2023-07-15,Web Chat,5,7,1
C00186,2024-05-10,Phone,3,26,1
C00186,2024-01-26,Email,3,17,0
C00186,2024-12-23,Phone,2,36,1
C00186,2024-02-17,Email,4,11,0
C00186,2024-05-03,Phone,4,25,1
C00187,2023-01-27,Phone,3,47,1
C00187,2023-02-19,Web Chat,3,19,0
C00187,2024-06-28,Phone,3,24,1
C00187,2024-10-22,Web Chat,1,12,1
C00187,2023-03-15,Email,1,3,1
C00187,2024-10-22,Phone,4,35,1
C00188,2024-04-28,Email,2,5,1
C00188,2024-12-06,Phone,5,17,0
C00188,2023-08-14,Web Chat,5,11,1
C00189,2023-08-19,Phone,5,48,1
C00190,2023-01-21,Phone,5,58,0
C00190,2023-01-28,Phone,4,45,1
C00190,2024-10-20,Email,4,13,1
C00191,2024-10-11,Web Chat,5,9,1
C00191,2024-04-01,Phone,3,33,1
C00192,2024-10-16,Phone,5,53,1
C00193,2024-06-08,Phone,4,59,1
C00193,2023-11-26,Email,4,8,1
C00194,2024-10-28,Phone,3,45,1
C00194,2024-04-06,Phone,4,28,1
C00194,2023-01-21,Web Chat,2,10,1
C00195,2024-10-18,Email,3,13,0
C00195,2024-12-08,Email,3,8,1
C00195,2023-10-07,Email,2,9,1
C00195,2023-08-10,Web Chat,2,19,1
C00196,2024-06-11,Web Chat,3,15,1
C00196,2024-07-16,Web Chat,4,5,0
C00196,2023-04-01,Phone,2,58,1
C00196,2024-06-24,Email,3,18,1
C00197,2024-12-19,Phone,5,48,1
C00197,2024-09-16,Web Chat,4,15,1
C00197,2023-10-16,Web Chat,2,4,1
C00197,2023-12-08,Email,5,5,1
C00197,2023-02-12,Web Chat,4,11,0
C00198,2023-03-19,Web Chat,5,14,1
C00199,2023-04-10,Email,5,13,1
C00200,2023-11-17,Web Chat,3,17,1
C00200,2023-04-13,Email,3,11,1
C00200,2023-05-28,Web Chat,4,12,0
C00201,2024-11-21,Email,5,9,1
C00202,2024-03-27,Email,2,5,1
C00202,2024-04-26,Email,3,12,1
C00203,2023-01-23,Email,2,9,1
C00203,2023-07-21,Email,2,15,1
C00203,2024-07-11,Phone,4,19,1
C00204,2024-12-28,Email,3,14,1
C00204,2023-07-12,Web Chat,4,6,1
C00205,2024-10-20,Email,3,5,1
C00206,2024-06-02,Phone,4,17,1
C00206,2023-12-10,Web Chat,4,3,0
C00206,2024-02-12,Phone,3,46,1
C00207,2024-07-07,Email,5,5,1
C00207,2024-07-16,Web Chat,4,17,1
C00208,2024-10-13,Phone,4,44,1
C00208,2023-01-04,Web Chat,5,8,1
C00208,2023-12-13,Web Chat,3,4,1
C00208,2024-10-11,Phone,5,55,1
C00208,2023-04-22,Phone,3,59,1
C00209,2023-11-03,Web Chat,1,14,1
C00209,2023-07-23,Web Chat,4,19,1
C00210,2023-04-15,Email,4,15,1
C00211,2024-05-22,Web Chat,3,12,1
C00211,2024-10-10,Email,5,9,1
C00211,2024-11-12,Phone,4,59,1
C00212,2023-05-28,Web Chat,2,17,1
C00212,2024-03-04,Phone,4,45,1
C00212,2023-11-01,Web Chat,3,17,1
C00212,2023-02-10,Email,4,11,1
C00212,2023-11-04,Web Chat,3,9,1
C00212,2023-11-06,Web Chat,3,9,1
C00212,2023-07-01,Web Chat,1,18,0
C00213,2023-07-20,Web Chat,4,10,1
C00213,2024-07-11,Phone,3,27,0
C00213,2024-08-27,Email,5,6,1
C00213,2024-05-22,Email,5,16,0
C00214,2023-07-08,Web Chat,3,14,1
C00215,2023-10-19,Phone,2,26,1
C00215,2023-10-14,Email,2,6,1
C00216,2024-05-22,Web Chat,3,6,1
C00216,2024-12-04,Email,2,19,1
C00216,2023-09-04,Email,2,18,0
C00216,2024-12-18,Web Chat,4,14,1
C00216,2024-09-04,Email,3,14,1
C00216,2023-07-05,Phone,3,27,1
C00216,2023-01-18,Phone,3,34,1
C00217,2023-11-22,Phone,3,42,1
C00218,2023-11-19,Web Chat,3,6,1
C00218,2023-09-06,Email,4,16,1
C00219,2023-04-17,Web Chat,3,7,1
C00219,2024-11-07,Web Chat,2,18,1
C00219,2023-05-13,Phone,2,55,1
C00219,2024-10-18,Email,2,19,1
C00220,2024-06-13,Email,4,7,1
C00220,2024-01-26,Web Chat,3,18,1
C00220,2024-09-27,Phone,5,26,1
C00220,2023-10-12,Phone,4,47,1
C00221,2023-10-22,Web Chat,3,12,1
C00221,2024-11-13,Email,5,11,0
C00222,2023-07-15,Phone,4,43,0
C00222,2024-03-23,Web Chat,1,14,1
C00222,2023-07-13,Email,5,19,1
C00223,2023-12-17,Web Chat,3,19,1
C00223,2024-06-14,Email,4,3,1
C00223,2023-07-18,Web Chat,3,4,1
C00223,2024-02-25,Phone,3,27,1
C00223,2023-04-27,Web Chat,4,19,1
C00223,2024-04-23,Web Chat,1,13,1
C00224,2023-06-28,Email,3,17,0
C00224,2023-01-11,Email,3,9,1
C00224,2024-02-01,Web Chat,3,8,0
C00224,2024-06-13,Phone,2,44,0
