customer_id,complaint_date,complaint_category,comment,severity,resolution_time_days,escalated,resolved
C00081,2024-02-06,Billing,The rate increase was not communicated clearly and came as a surprise.,3,4,1,1
C00081,2023-08-09,Meter Reading,I feel like loyal customers are not being valued the way they should be.,3,18,1,0
C00082,2022-04-18,Account Management,Could you send me a copy of last month's bill?,1,9,0,1
C00082,2024-04-18,Meter Reading,The customer service agent I spoke to was not very helpful.,3,19,0,0
C00082,2023-12-05,Billing,I have been trying to get this resolved for two weeks now.,3,11,1,0
C00082,2022-06-07,Account Management,I am considering switching providers if this is not fixed immediately.,4,11,0,1
C00082,2024-01-04,Meter Reading,I need to change my contact phone number on the account.,1,5,0,1
C00083,2023-11-03,Account Management,"There was a small discrepancy on my statement, now resolved.",2,11,0,1
C00083,2024-02-11,Outage,Response time was a bit slower than last time I called.,2,1,0,1
C00084,2024-12-18,Service Quality,I have been without power for five days and your team does not care at all.,5,12,1,0
C00085,2022-07-25,Technical,The customer service agent I spoke to was not very helpful.,3,1,0,0
C00085,2023-11-28,Outage,The worst customer experience I have ever had in my life.,5,9,1,1
C00085,2024-02-05,Technical,I am not satisfied with how my previous complaint was handled.,3,16,1,1
C00085,2024-12-05,Account Management,Just checking when my next meter read is scheduled.,1,2,1,1
C00086,2024-07-07,Outage,I waited longer than usual for a callback but it came eventually.,2,2,1,1
C00086,2023-07-07,Meter Reading,Calling to update my billing address.,1,6,0,1
C00088,2024-07-14,Outage,The customer service agent I spoke to was not very helpful.,3,8,1,0
C00088,2023-05-28,Meter Reading,The worst customer experience I have ever had in my life.,5,25,1,1
C00089,2024-08-15,Outage,The technician did not show up at the agreed time without any notice.,3,3,1,0
C00089,2022-03-28,Service Quality,The technician arrived a bit late but did a good job.,2,2,0,0
C00090,2023-08-22,Service Quality,My power has been out for two days and nobody has given me an update.,4,10,0,1
C00090,2023-05-27,Outage,This is the third billing error in a row. I am losing patience.,4,10,0,0
C00091,2023-10-05,Billing,My account was charged incorrectly and I am still waiting for a credit.,3,14,0,0
C00091,2022-10-03,Account Management,I feel like loyal customers are not being valued the way they should be.,3,11,0,1
C00091,2023-10-06,Billing,The technician arrived a bit late but did a good job.,2,6,0,0
C00091,2024-05-09,Outage,I had trouble navigating the new online portal at first.,2,14,0,1
C00092,2023-04-17,Meter Reading,My meter reading submission didn't go through on the first try.,2,13,0,0
C00092,2023-07-24,Billing,I have been waiting over a week for someone to call me back.,3,5,0,1
C00092,2022-07-21,Meter Reading,I want to switch to paperless billing.,1,3,0,1
C00094,2024-04-18,Technical,I feel like loyal customers are not being valued the way they should be.,3,13,0,0
C00094,2023-08-05,Technical,The email confirmation for my account change took two days to arrive.,2,11,0,1
C00094,2024-01-16,Service Quality,My account was charged incorrectly and I am still waiting for a credit.,3,7,1,0
C00094,2024-01-18,Technical,I have been waiting over a week for someone to call me back.,3,9,1,1
C00095,2023-10-28,Account Management,I am not satisfied with how my previous complaint was handled.,3,16,0,0
C00096,2022-02-03,Account Management,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,2,0,0
C00096,2023-01-01,Technical,I have been trying to get this resolved for two weeks now.,3,7,1,0
C00096,2022-05-21,Account Management,My meter reading submission didn't go through on the first try.,2,12,1,1
C00097,2023-07-21,Outage,I want to switch to paperless billing.,1,1,0,1
C00097,2022-04-07,Meter Reading,I want to switch to paperless billing.,1,4,0,1
C00097,2023-07-06,Service Quality,My account was charged incorrectly and I am still waiting for a credit.,3,14,0,1
C00097,2023-03-25,Outage,The customer service agent I spoke to was not very helpful.,3,6,0,1
C00098,2023-05-24,Account Management,I was on hold for about 20 minutes which felt long.,2,5,1,1
C00098,2023-06-26,Service Quality,Can you confirm my direct debit amount?,1,4,0,1
C00099,2024-03-20,Service Quality,Just checking when my next meter read is scheduled.,1,1,0,1
C00099,2023-01-16,Outage,"Everything is fine, just updating my details.",1,5,0,1
C00100,2024-03-05,Billing,I want a full refund and I am cancelling everything today.,5,19,0,0
C00100,2024-06-16,Service Quality,I have been trying to get this resolved for two weeks now.,3,16,0,1
C00100,2023-12-02,Service Quality,The technician arrived a bit late but did a good job.,2,8,0,1
C00101,2022-05-03,Outage,"There was a small discrepancy on my statement, now resolved.",2,3,0,1
C00101,2023-07-10,Meter Reading,I want to cancel my account. I have had enough of this terrible service.,5,9,0,1
C00101,2023-09-28,Account Management,I am switching providers immediately. I cannot tolerate this incompetence.,5,13,0,0
C00102,2023-01-17,Billing,The technician did not show up at the agreed time without any notice.,3,18,0,0
C00102,2022-06-10,Meter Reading,I had trouble navigating the new online portal at first.,2,7,0,1
C00102,2023-07-20,Meter Reading,The online chat bot could not help me and I had to call anyway.,3,9,0,0
C00105,2022-12-26,Service Quality,"Three technicians, three no-shows. I have lost my patience entirely.",5,6,1,0
C00105,2024-03-11,Technical,I took a day off work for the technician and nobody came.,4,20,0,0
C00106,2023-08-24,Technical,I am contacting my lawyer. This is negligent and completely unacceptable.,5,11,1,0
C00107,2024-04-13,Meter Reading,The level of service I am receiving is completely unacceptable.,4,8,0,1
C00107,2022-10-28,Outage,I want to switch to paperless billing.,1,5,0,1
C00107,2022-04-20,Account Management,Nobody in your company seems to take responsibility for anything.,4,4,0,1
C00108,2022-04-01,Service Quality,I am contacting my lawyer. This is negligent and completely unacceptable.,5,4,0,1
C00108,2024-08-08,Account Management,I have been trying to get this resolved for two weeks now.,3,14,0,1
C00109,2022-12-07,Outage,The email confirmation for my account change took two days to arrive.,2,5,0,1
C00111,2022-10-20,Account Management,I waited longer than usual for a callback but it came eventually.,2,4,0,1
C00111,2023-12-11,Technical,"There was a small discrepancy on my statement, now resolved.",2,5,0,1
C00111,2022-02-11,Account Management,The technician did not show up at the agreed time without any notice.,3,1,0,0
C00111,2023-08-20,Outage,I feel like loyal customers are not being valued the way they should be.,3,15,1,1
C00111,2024-02-16,Meter Reading,I have been without power for five days and your team does not care at all.,5,11,1,0
C00111,2022-05-08,Meter Reading,I am very unhappy with the service. My complaint from last month is still open.,4,24,0,0
C00111,2024-10-09,Billing,I want to cancel my account. I have had enough of this terrible service.,5,5,0,0
C00111,2023-03-02,Billing,I am very unhappy with the service. My complaint from last month is still open.,4,4,0,0
C00111,2024-05-05,Technical,The customer service agent I spoke to was not very helpful.,3,18,0,1
C00111,2023-04-17,Billing,The technician arrived a bit late but did a good job.,2,8,0,1
C00112,2024-07-10,Billing,The technician did not show up at the agreed time without any notice.,3,19,0,1
C00112,2024-09-10,Meter Reading,The technician arrived a bit late but did a good job.,2,4,0,1
C00112,2024-01-03,Service Quality,The email confirmation for my account change took two days to arrive.,2,11,0,1
C00112,2023-05-27,Meter Reading,I have been waiting over a week for someone to call me back.,3,6,1,1
C00112,2022-01-08,Outage,The online chat bot could not help me and I had to call anyway.,3,6,1,1
C00112,2024-06-26,Billing,I want a full refund and I am cancelling everything today.,5,14,1,1
C00113,2023-07-14,Meter Reading,My bill was slightly higher than I expected this month.,2,4,0,0
C00113,2022-07-01,Outage,I was on hold for about 20 minutes which felt long.,2,8,0,1
C00113,2024-04-12,Billing,I have been waiting over a week for someone to call me back.,3,3,1,1
C00113,2024-01-17,Account Management,I feel like loyal customers are not being valued the way they should be.,3,16,0,0
C00114,2023-06-17,Meter Reading,I have escalated this complaint twice and it is still not resolved.,4,16,0,0
C00114,2023-01-05,Billing,Your company has overcharged me for months and nobody will fix it.,5,11,1,0
C00114,2022-02-11,Account Management,I feel like loyal customers are not being valued the way they should be.,3,17,0,1
C00115,2023-10-22,Technical,Response time was a bit slower than last time I called.,2,14,0,1
C00115,2022-02-14,Billing,My bill has errors and I have had to call twice about the same issue.,3,19,0,0
C00115,2024-08-11,Technical,I feel like loyal customers are not being valued the way they should be.,3,18,0,0
C00116,2023-11-16,Technical,I am not satisfied with how my previous complaint was handled.,3,6,0,1
C00116,2023-09-24,Meter Reading,I was treated rudely on my last call and I want this addressed.,4,2,0,1
C00116,2024-04-10,Service Quality,The rate increase was not communicated clearly and came as a surprise.,3,11,1,0
C00116,2024-02-23,Outage,I had trouble navigating the new online portal at first.,2,5,0,0
C00116,2022-07-06,Service Quality,My bill has errors and I have had to call twice about the same issue.,3,5,0,0
C00117,2024-01-27,Outage,I need to change my contact phone number on the account.,1,2,0,0
C00117,2024-12-08,Technical,I was treated rudely on my last call and I want this addressed.,4,6,0,1
C00117,2024-08-25,Service Quality,The technician arrived a bit late but did a good job.,2,2,0,0
C00117,2024-04-24,Account Management,I would like to check my current balance please.,1,7,0,1
C00117,2024-01-21,Billing,I want to cancel my account. I have had enough of this terrible service.,5,23,1,0
C00117,2024-08-07,Outage,The level of service I am receiving is completely unacceptable.,4,8,1,0
C00117,2024-06-16,Meter Reading,The level of service I am receiving is completely unacceptable.,4,12,1,1
C00118,2023-03-20,Billing,Quick question about the new tariff letter I received.,1,9,1,1
C00118,2024-01-02,Account Management,I have been waiting over a week for someone to call me back.,3,7,0,1
C00119,2022-06-20,Billing,I took a day off work for the technician and nobody came.,4,11,0,1
C00119,2023-03-21,Outage,I want a formal complaint registered. This has gone on too long.,4,10,0,0
C00119,2024-11-10,Meter Reading,My account was charged incorrectly and I am still waiting for a credit.,3,2,0,0
C00120,2023-08-19,Meter Reading,My bill has errors and I have had to call twice about the same issue.,3,12,0,1
C00120,2024-09-28,Technical,My bill was slightly higher than I expected this month.,2,6,1,0
C00120,2024-05-06,Account Management,I want to switch to paperless billing.,1,5,0,1
C00120,2024-11-12,Outage,I was treated rudely on my last call and I want this addressed.,4,9,1,0
C00120,2023-02-04,Billing,I have escalated this complaint twice and it is still not resolved.,4,11,1,1
C00121,2024-12-23,Account Management,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,17,1,1
C00121,2024-10-06,Meter Reading,I had trouble navigating the new online portal at first.,2,6,1,1
C00121,2023-09-28,Account Management,I am going to leave a public review warning everyone about this company.,5,14,1,0
C00122,2024-03-22,Technical,My bill was slightly higher than I expected this month.,2,9,0,1
C00122,2022-01-18,Billing,Can you confirm my direct debit amount?,1,9,0,1
C00122,2023-10-28,Meter Reading,I want to switch to paperless billing.,1,1,1,1
C00122,2023-06-05,Account Management,I waited longer than usual for a callback but it came eventually.,2,5,0,1
C00123,2024-11-08,Billing,I need to change my contact phone number on the account.,1,4,0,0
C00124,2023-12-04,Technical,Your company has overcharged me for months and nobody will fix it.,5,1,0,1
C00124,2024-12-11,Technical,My meter reading submission didn't go through on the first try.,2,2,1,1
C00125,2024-03-15,Outage,My meter reading submission didn't go through on the first try.,2,9,0,1
C00125,2024-06-27,Service Quality,I was on hold for about 20 minutes which felt long.,2,7,0,0
C00125,2022-01-10,Account Management,Response time was a bit slower than last time I called.,2,8,0,1
C00125,2022-01-19,Account Management,The technician did not show up at the agreed time without any notice.,3,13,0,1
C00125,2022-09-28,Meter Reading,The website was slow when I tried to log in yesterday.,2,10,0,0
C00125,2023-09-08,Billing,My account was charged incorrectly and I am still waiting for a credit.,3,5,1,1
C00126,2024-09-02,Outage,The website was slow when I tried to log in yesterday.,2,2,0,1
C00126,2022-02-28,Billing,I want to switch to paperless billing.,1,4,1,1
C00126,2023-03-06,Meter Reading,I am considering switching providers if this is not fixed immediately.,4,15,0,1
C00126,2022-03-23,Meter Reading,The online chat bot could not help me and I had to call anyway.,3,18,0,0
C00129,2023-01-28,Service Quality,The customer service agent I spoke to was not very helpful.,3,9,0,0
C00129,2022-09-08,Account Management,Calling to update my billing address.,1,7,0,1
C00130,2023-09-17,Outage,Just checking when my next meter read is scheduled.,1,2,0,1
C00131,2023-04-04,Technical,I have been trying to get this resolved for two weeks now.,3,14,0,1
C00131,2022-08-28,Meter Reading,My account was charged incorrectly and I am still waiting for a credit.,3,6,0,0
C00131,2023-02-19,Outage,Response time was a bit slower than last time I called.,2,10,0,1
C00131,2022-01-15,Account Management,I waited longer than usual for a callback but it came eventually.,2,3,0,1
C00133,2024-03-24,Account Management,My meter reading submission didn't go through on the first try.,2,2,0,1
C00133,2024-03-12,Billing,Response time was a bit slower than last time I called.,2,6,0,1
C00133,2024-01-20,Service Quality,My meter reading submission didn't go through on the first try.,2,12,1,0
C00133,2024-08-07,Account Management,My power has been out for two days and nobody has given me an update.,4,11,0,1
C00134,2024-06-26,Billing,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,29,1,0
C00135,2024-12-04,Technical,The rate increase was not communicated clearly and came as a surprise.,3,17,0,0
C00135,2024-08-11,Account Management,The customer service agent I spoke to was not very helpful.,3,13,0,0
C00135,2024-04-17,Account Management,Could you send me a copy of last month's bill?,1,1,0,1
C00136,2024-04-27,Service Quality,Response time was a bit slower than last time I called.,2,3,1,1
C00136,2023-12-23,Billing,My account was charged incorrectly and I am still waiting for a credit.,3,18,0,0
C00136,2022-11-05,Billing,This is the third billing error in a row. I am losing patience.,4,19,0,0
C00136,2024-02-13,Outage,The rate increase was not communicated clearly and came as a surprise.,3,2,0,1
C00136,2022-10-16,Service Quality,"There was a small discrepancy on my statement, now resolved.",2,1,1,1
C00136,2023-02-19,Technical,My bill has errors and I have had to call twice about the same issue.,3,12,1,0
C00137,2022-12-03,Technical,My bill has errors and I have had to call twice about the same issue.,3,6,1,1
C00137,2024-06-04,Outage,Response time was a bit slower than last time I called.,2,14,1,1
C00137,2022-04-24,Meter Reading,I feel like loyal customers are not being valued the way they should be.,3,5,1,1
C00137,2023-10-14,Outage,I was on hold for about 20 minutes which felt long.,2,11,0,1
C00137,2024-06-19,Billing,My bill has errors and I have had to call twice about the same issue.,3,6,1,0
C00138,2024-12-21,Service Quality,The website was slow when I tried to log in yesterday.,2,13,0,0
C00138,2024-11-21,Billing,Nobody in your company seems to take responsibility for anything.,4,24,0,0
C00138,2024-09-28,Meter Reading,My meter reading submission didn't go through on the first try.,2,12,0,0
